solution_id,param_0,param_1,param_2,objective_0,objective_1,objective_2
0,25.0,11.0,1.0,3.676113297058278,0.7328294459704894,1.0310395854895738
1,20.0,14.0,1.0,3.674919716876363,0.7297425814523545,1.0399779895135024
2,48.0,11.0,4.0,4.571697692122478,0.2900250767033952,0.8992290980415885
3,64.0,9.0,4.0,4.564894576139666,0.2906171402703249,0.8988167223677352
4,8.0,24.0,1.0217900247037415,3.828252939861814,0.7202833188417014,1.0509184920961139
5,3.0,5.0,1.7837458743266335,4.439399314811464,0.5812733021646288,1.0086226217839296
6,3.0,8.0,2.6203518073368004,4.446296162746499,0.46349031002872415,0.9907899333496418
7,6.0,3.0,1.5455811561462371,4.031807194185495,0.6519553564832097,1.017494808011046
8,56.0,2.0,2.584328973978588,4.466672826775245,0.45624461165822167,0.9333792306567407
9,5.0,33.0,3.435987671397538,4.538133917164828,0.35150064839376755,0.9041312215931295
10,33.0,8.0,3.8271488617820646,4.545522944666571,0.34687481201062104,0.9463434572579137
11,18.0,15.0,3.4554905673084586,4.558784941919917,0.34664246270557947,0.9704845159255598
12,9.0,3.0,3.7856632899528333,4.498594959346091,0.3677193880256146,1.0004722299700222
13,3.0,4.0,1.0,3.9992795170596196,0.7163947187504716,1.0259637565022102
14,5.0,8.0,2.749243574406269,4.48903939180817,0.4324278285622642,1.009837336051325
15,54.0,3.0,2.516842630588793,4.464355742520996,0.4597717328900456,0.9653607557939843
16,5.0,36.0,2.5,4.502843522169199,0.4412314304828846,0.9381050217082089
17,2.0,6.0,1.0,3.986173701793289,0.716469329745113,1.0101277351927118
18,2.0,7.0,1.016262898431765,3.934037794834342,0.7168852518113144,1.0125398881035343
19,9.0,21.0,1.0,3.762474823953566,0.7216380518186518,1.0494132992687135
20,22.0,9.0,1.0561585647724048,3.885142393350275,0.7236041809917696,1.037264937410736
21,33.0,6.0,1.0803793830565425,3.9329317269661237,0.726848750321847,1.0311626359866755
22,2.0,5.0,1.0,4.072107783617479,0.723340034368959,1.0049343031848605
23,47.0,5.0,2.46312284034709,4.4779787927661,0.45334830424860934,0.974819788105697
24,8.0,15.0,3.550910224608428,4.535439273071605,0.35268611323025517,0.9802314756523814
25,7.0,6.0,3.821925998873636,4.507119186756055,0.35604923314943665,0.9942586328624406
26,8.0,5.0,1.5367015810914146,4.102856916084548,0.641638961180436,1.0370292335526001
27,56.0,3.0,1.7403101003614403,4.415596409979366,0.6018695447497044,0.996868174315143
28,5.0,8.0,1.5580035906767016,4.191492171036283,0.638869350908532,1.0320032053881987
29,15.0,7.0,1.4445660617987257,4.328303898182285,0.6256610954487009,1.0234005205249534
30,18.0,11.0,1.0,3.8515792199234906,0.722087116963152,1.039302113258238
31,6.0,11.0,1.5026526750192528,4.151622782543556,0.6435100430793897,1.0364638439859297
32,4.0,6.0,1.53614031179301,4.119341286302346,0.6455499451138378,1.020244393320911
33,9.0,22.0,1.0,3.877481475399161,0.7219970471593199,1.0450070844554311
34,51.0,5.0,4.0,4.547829282829292,0.34888662134411014,0.9372051519839572
35,7.0,3.0,1.5298166816983065,4.0096540634965505,0.6510340218462267,1.018058791274288
36,17.0,11.0,1.0,3.781113559906437,0.7250781680375223,1.044923444935226
37,8.0,22.0,1.5945067974898106,4.355783725598463,0.621301459394963,1.037683670090155
38,55.0,7.0,1.0,3.7102961908094354,0.7286490052138076,1.0050930348479845
39,20.0,13.0,2.693593512495754,4.500060094016562,0.4383240685609792,0.9889559889270939
40,10.0,3.0,1.5192619272188677,4.080399943482012,0.6484858726067719,1.0186581248970876
41,42.0,6.0,2.3696064373925565,4.483416467833209,0.4526582697564403,0.9780728463269845
42,35.0,2.0,1.6802830158456412,4.419934855891119,0.5989756589656524,0.9863921077014481
43,3.0,9.0,2.7414449405337957,4.473710218096513,0.45418630363235624,0.9834708192676263
44,16.0,12.0,1.0,3.8023670887535426,0.7228361882067196,1.0448765259479413
45,6.0,30.0,1.527850505017369,4.299441965897517,0.6334885831757391,1.0020072654651069
46,14.0,6.0,1.4756828805936681,4.314440896037187,0.6247479220429396,1.026993243187406
47,16.0,6.0,3.677026250184289,4.538107491513355,0.3595770847979065,0.9683934880356477
48,12.0,17.0,1.0,3.8339170482809504,0.7193034844526109,1.0504339078040021
49,58.0,3.0,1.3348259993056657,4.2080108732127615,0.646911475874889,1.0016479743479865
50,22.0,6.0,1.631437709719032,4.253329153987866,0.6271724848151486,1.0157530078336208
51,13.0,8.0,1.4530873750291975,4.389540145036517,0.6145268966376912,1.0253640325295483
52,5.0,33.0,3.6327361563902887,4.538133917164828,0.35150064839376755,0.9041312215931295
53,24.0,11.0,2.443398055755969,4.514080499807179,0.4345339564266264,0.9860686281089398
54,14.0,4.0,1.5284309954401019,4.232264904331668,0.6316731103775821,1.030111978554559
