solution_id,param_0,param_1,param_2,objective_0,objective_1,objective_2
0,2.0,2.0,4.0,7.680466806487435,0.6906990090666457,1.5553464439341895
1,23.0,12.0,1.0,6.485421751846349,0.9740381547481413,1.1527426027190708
2,2.0,3.0,3.921289158320726,7.662489792326648,0.7062814660218714,1.5671958346336765
3,23.0,12.0,1.0,6.485421751846349,0.9740381547481413,1.1527426027190708
4,57.0,6.0,1.1360152700995556,6.51788784972721,0.9672389525831077,1.0891287845663447
5,2.0,2.0,4.0,7.680466806487435,0.6906990090666457,1.5553464439341895
6,55.0,4.0,1.0,6.596342780882967,0.9646200927827279,1.1321337468812303
7,36.0,6.0,1.0710116402879253,6.558385330686276,0.9646734385536021,1.1667618320669453
8,17.0,4.0,1.0,6.701237499548648,0.9587000576819878,1.2559551641264506
9,19.0,4.0,1.0,6.67774628684808,0.9593351326875306,1.2394704296762469
10,64.0,6.0,1.020274883541831,6.518286250360618,0.9671953698770553,1.0891967655915857
11,16.0,18.0,1.0,6.496339392111553,0.9705178327634527,1.143020388014484
12,30.0,5.0,1.0,6.615626132831958,0.9636017751426765,1.1888378602488752
13,11.0,4.0,1.0,6.7148316376187225,0.9584865555853863,1.273346354799999
14,2.0,5.0,2.7970685912206457,7.485353213840327,0.7895446908679067,1.549648557582549
15,2.0,3.0,1.0,6.841793659124118,0.9524334950807628,1.3341811175817566
16,2.0,10.0,1.0380727192723667,6.911103497247615,0.9467797666767109,1.3253885202598679
17,2.0,6.0,1.1244087744973608,6.932279788938367,0.9414473637900252,1.3777588860666072
18,2.0,3.0,2.8974319249571074,7.502189751591555,0.7823165931617663,1.5515865766771109
19,2.0,3.0,1.6496199962546454,7.177175019603036,0.8946647885655434,1.4544988793247835
20,2.0,5.0,2.254010632001837,7.358322435478163,0.8375888304455478,1.5242544379437921
21,2.0,3.0,1.165545179462073,6.961088446374003,0.9391974514684697,1.369632470050223
22,2.0,3.0,3.112516028985877,7.540127696080377,0.7649214782632865,1.5591103106213988
23,24.0,6.0,1.0622442579169147,6.614588131475563,0.9629759027639008,1.2034186717551996
24,2.0,5.0,2.2831269931542453,7.369107407071423,0.8335457773017583,1.5287927495794351
25,2.0,6.0,3.5191228621588424,7.614511759351906,0.7374458305874294,1.499571799404504
26,22.0,5.0,1.0,6.6628246446385955,0.9621657455747223,1.22284765611549
27,2.0,6.0,1.9032297725467813,7.266057850157734,0.8697938816691884,1.4831475545705168
28,18.0,5.0,1.0064564740378623,6.642721444468931,0.9611455246448107,1.2269113293668534
29,2.0,7.0,3.2197460444731556,7.555117858653009,0.7597012758765669,1.4838416138084323
30,2.0,9.0,1.876847079132436,7.249488940118402,0.8733972532709268,1.4639171027556008
31,2.0,2.0,1.0,6.818333420418352,0.9547977602384817,1.3172892851592548
32,3.0,4.0,1.0014083047773625,6.792760537274228,0.9537212285180028,1.317441595610354
33,2.0,3.0,2.5044879133058693,7.419475894925232,0.8158603272555057,1.5347314391195623
34,2.0,9.0,1.0030739655047136,6.901319333723141,0.9505084503775942,1.3403469942053887
35,2.0,6.0,3.8134389081401334,7.655067679241718,0.7167518243542782,1.4939494772226203
36,2.0,4.0,1.7179156226691281,7.160132106026797,0.889416567978111,1.4753415722434455
37,2.0,6.0,3.567676726522117,7.625425118108684,0.7324276905616068,1.502054849727217
38,2.0,6.0,3.66873372032029,7.6403264053014475,0.7261737724223863,1.496890407999017
39,3.0,3.0,1.0049393000031863,6.769878165957316,0.9550147463261249,1.3075546155998146
40,2.0,5.0,2.5309100059337184,7.430978684165638,0.81138787962085,1.539413786810916
41,2.0,6.0,1.2160101982669205,6.9840756382289495,0.9340117798489239,1.3921808064602474
42,24.0,12.0,1.0,6.521916447467669,0.9656123908740663,1.1616975929508702
43,6.0,3.0,1.0,6.740277036883326,0.9560596056584779,1.293230854322538
44,2.0,6.0,1.0378139631871304,6.877213587507252,0.9493487401909813,1.3514179171848637
45,2.0,5.0,1.0,6.869046088524444,0.9513711811098022,1.3478628392425327
46,2.0,4.0,1.1825820337314228,6.956305282701556,0.9373348093662738,1.3848119926276166
47,2.0,3.0,2.7303497714625857,7.475120373238683,0.7969813497951242,1.5471094125231313
48,2.0,9.0,1.0709266226405159,6.9421710584621525,0.9445113108341913,1.357244274283443
49,2.0,3.0,1.7569169619893987,7.210426847111548,0.8847871830247153,1.4682493425573246
50,2.0,6.0,1.5841872457349067,7.147905266395948,0.9000223488522983,1.4536289732436571
51,2.0,4.0,2.0714425351858403,7.28934571030924,0.8570745443365448,1.51103465241648
52,2.0,3.0,1.7822297722136313,7.1943558171915996,0.8827540805908757,1.4700882907317363
53,2.0,5.0,1.810254273953697,7.220747786216087,0.878574242259474,1.4900100409657324
54,2.0,7.0,2.3717514228710708,7.386718739350432,0.8293859047492725,1.4854764515019054
55,2.0,3.0,3.243565245405276,7.570897221794528,0.7545632724787625,1.562365092592218
56,2.0,3.0,1.278304521106507,7.028116501005851,0.9288894993260144,1.3968752964609223
57,2.0,5.0,3.4124894631933427,7.596290910627089,0.7421550294049027,1.560340517354009
58,2.0,4.0,1.9848258118819215,7.270049739065399,0.864079142134672,1.5042096940210243
59,2.0,5.0,1.2507595409873322,7.009364028841413,0.930169287773745,1.4077925992896898
60,2.0,4.0,1.4359091808744298,7.084218261235369,0.9148459107505648,1.4338809668316355
61,2.0,3.0,2.692929597009819,7.47124755028244,0.7995924195074129,1.5440318592947364
62,2.0,6.0,3.906740725865069,7.666449600365746,0.7107519439483844,1.4894800688347813
63,2.0,5.0,2.606699072483781,7.442996258663673,0.8052703121329302,1.541243782340411
64,2.0,3.0,2.192991840065524,7.349369122589899,0.8438475872696722,1.5129604720033132
65,2.0,3.0,3.6975622607993937,7.634828387684582,0.7216630386670276,1.5643849787080824
66,2.0,11.0,1.2988370570142969,7.0318932500028835,0.9258335969420087,1.3608719198972437
67,2.0,5.0,2.4351354297136907,7.4092627220937874,0.8201820232088212,1.5366791473519226
68,2.0,5.0,3.00969362127887,7.521721416185834,0.7728097943275162,1.5537997640355754
69,2.0,6.0,1.4727439351151248,7.095890032704585,0.9103793427963266,1.4406365778428445
70,2.0,4.0,2.144770020772184,7.308957666044126,0.8501124679400625,1.5170169106096862
71,2.0,2.0,3.936904549164358,7.680220174170173,0.6964071596426159,1.5566308735988716
72,2.0,3.0,1.5366241979525799,7.112310131674709,0.9057817891202999,1.4386363647208842
73,2.0,6.0,1.5743335245898527,7.131075011030008,0.9019443573709012,1.4507752435231043
74,2.0,3.0,4.0,7.671659977154348,0.7012811261059171,1.5634378146656154
75,2.0,6.0,1.5448736497705133,7.120768522332847,0.9039801076196167,1.446922176427043
76,37.0,3.0,1.0,6.657956349209477,0.9622081529986507,1.1995031702653105
77,2.0,5.0,3.387546365171115,7.583713554548594,0.7450487081471494,1.5587175232690493
78,2.0,5.0,1.3426354210452307,7.043645108807494,0.9219951726112442,1.4255784017605702
79,11.0,2.0,1.0,6.758843686624035,0.9553134465725183,1.2809466837508607
80,2.0,3.0,2.0930009721392095,7.321586348356339,0.8532245567778343,1.50280687075397
81,2.0,9.0,1.3929461413864384,7.076004355868426,0.9177968447072401,1.4151862507201163
82,2.0,3.0,3.291696396500132,7.579964272415705,0.7509582220950843,1.5608667867223498
83,2.0,7.0,1.3743152572908763,7.064149318118785,0.9188257674704352,1.4232331819842496
84,2.0,5.0,1.8569694551538072,7.238712423466367,0.8741429436212615,1.4921309472080564
85,2.0,6.0,2.963439052445692,7.520264471618939,0.7788271076614007,1.5132016948543892
86,2.0,6.0,2.395641895038579,7.404010186004063,0.8252325692964703,1.5084552825395046
87,2.0,4.0,1.331982139239352,7.05171184559611,0.9235204399120729,1.4192018607037633
88,2.0,4.0,1.287728339455286,6.994525199560209,0.9276115770850591,1.4105943304271027
89,2.0,7.0,2.6726592174832184,7.451680927337056,0.8036297232523801,1.4854168024064343
90,2.0,7.0,1.456144257338661,7.103525407601667,0.911139358483031,1.43123691726558
91,5.0,5.0,1.0,6.749957889511464,0.9552629149215979,1.3014463148353974
92,12.0,4.0,1.0,6.738028379987162,0.9573318089273515,1.2790742972161198
93,2.0,6.0,2.003878908176721,7.2945291071833855,0.8611111277815076,1.4910142336870302
94,2.0,6.0,2.991086381036913,7.528457749210221,0.7756525809710083,1.5057408768658698
95,49.0,3.0,1.0132591367506114,6.630794998487305,0.964106147746327,1.1576653155003889
96,2.0,3.0,1.2442054170458676,7.0138066940959956,0.9319725453376858,1.3897679568171766
97,2.0,5.0,1.682527452523876,7.183195456655044,0.8906385801193386,1.4743248283669166
98,2.0,5.0,2.1576061243705866,7.332655271891647,0.8461348047982632,1.5189339898488505
99,2.0,4.0,2.4484330285474023,7.380902998876339,0.8243255495204415,1.539587257898312
