solution_id,param_0,param_1,param_2,objective_0,objective_1,objective_2
0,21.0,13.0,1.0,4.670034116730428,0.7689325339699336,1.069199555091561
1,20.0,14.0,1.0,4.665232150751511,0.7665442534655381,1.0766717620386241
2,7.0,5.0,2.444320985407354,4.950829754329895,0.48681611511091255,1.1403080314191234
3,45.0,12.0,3.0921035952371776,5.490580007097962,0.3747767405406641,0.9962804662714068
4,11.0,5.0,3.7762040968692165,5.531173986605663,0.3495466926945284,1.1210245809830717
5,32.0,3.0,3.72250185876164,5.581955585635557,0.3605753541828404,1.073084975204018
6,16.0,33.0,2.1243232247438506,5.413216320432353,0.4726197815120529,1.0201621621155923
7,14.0,5.0,2.920026421141225,5.45919200825904,0.42487720969633674,1.131846959459186
8,43.0,12.0,3.8480758800191732,5.490682250371219,0.3747572072676671,0.9971245604939616
9,7.0,5.0,1.91037777065495,5.20165200657172,0.5434788239893367,1.1335695536703578
10,46.0,12.0,3.0946132151426435,5.490580007097962,0.3747767405406641,0.9962804662714068
11,4.0,2.0,1.8597380754848003,5.377346875716087,0.571619797272116,1.0592301849049355
12,10.0,61.0,1.958873325567021,5.189833399750784,0.662047212143843,1.0322605083778293
13,9.0,64.0,2.4721495414593977,5.398617121453637,0.4861260192780146,1.0241833576769517
14,49.0,10.0,1.478433660969315,5.115316810017945,0.6590599287857816,1.036994349703402
15,7.0,5.0,1.0,4.802704461558379,0.7234446904354226,1.1048925181490665
16,52.0,9.0,1.6711392306124306,5.107191538204304,0.6589241980554875,1.0441651066831774
17,31.0,3.0,3.50762179148182,5.541584001287626,0.37184757788257133,1.0777548889264301
18,9.0,12.0,1.0,4.75922185870631,0.743142623288631,1.0879503682026503
19,2.0,7.0,1.0059798417729677,4.986892371804758,0.7364982349255481,1.0899495837703257
20,3.0,2.0,1.80959797438498,5.382332273096646,0.5793583859625346,1.0540131203445697
21,7.0,7.0,1.2225075044399412,4.814585709935473,0.6919770928679059,1.1163320166813886
22,31.0,5.0,1.5307608548195497,5.31040701764455,0.6211233905860434,1.1077433630280804
23,11.0,5.0,2.288980958991481,4.964327311860986,0.5018877108563048,1.1380494079931527
24,28.0,5.0,1.0109299275643915,4.734518623818889,0.7505900981560527,1.0847333840006168
25,10.0,4.0,3.7593147352795007,5.561187330279754,0.3559358297482818,1.1022594621326334
26,43.0,4.0,1.4831122609255947,5.17853669491381,0.6572061043688184,1.0961416858673279
27,42.0,13.0,1.7897617063572486,5.242995983715221,0.6510749998622506,1.049058263857439
28,2.0,11.0,1.2209646874884221,4.915706895069221,0.6985686740593772,1.1102773247954596
