solution_id,param_0,param_1,param_2,objective_0,objective_1,objective_2
0,64.0,7.0,1.0,6.930380301363138,0.9668325631988327,0.9967082067522777
1,3.0,2.0,3.9759951536057154,7.811199617655913,0.7125416979806193,1.1988219559821631
2,4.0,2.0,2.7250889130120783,7.6914439074229675,0.7901663740928159,1.2221488555253972
3,23.0,12.0,1.0,6.851447447801917,0.9694273445572925,1.0512501474131875
4,4.0,2.0,4.0,7.811868032843633,0.7185907713753809,1.1969325272567106
5,64.0,7.0,1.15,6.930380301363138,0.9668325631988327,0.9967082067522777
6,54.0,4.0,1.0464302788453628,6.998305275709031,0.965934769084239,1.0264759772135135
7,35.0,6.0,1.0039350654363393,7.014490357486704,0.9627633947722992,1.0561618559257149
8,42.0,5.0,1.0837308237875924,6.992807957986972,0.9657995204243693,1.0408339853341113
9,35.0,8.0,1.0,6.880904796734084,0.966156708885712,1.045834834694963
10,27.0,4.0,1.0,7.06756192183835,0.9622181651127837,1.069840988969103
11,4.0,2.0,2.996736464524126,7.736539656170735,0.7693712025394958,1.2180716051908695
12,18.0,6.0,1.0,7.03905878857233,0.9602730102167762,1.0902565973348768
13,20.0,3.0,1.0,7.0839379209262425,0.9568859291756295,1.105572837883666
14,12.0,4.0,1.0,7.109314071762739,0.9558718350179458,1.1236309298709952
15,4.0,2.0,2.833725278836455,7.720451669850727,0.7807233401098744,1.2197443003356963
16,4.0,2.0,3.0574698014835224,7.751376659498481,0.7656714132963605,1.2168499170383142
17,4.0,2.0,3.4657082861861337,7.79170910285277,0.7414807426416925,1.2087525457669082
18,4.0,2.0,3.3009934649069974,7.773386467745193,0.7498358934261229,1.2127546339677584
19,12.0,2.0,2.220715627477418,7.563202491248577,0.8405506900047119,1.1514334613534476
20,49.0,2.0,1.0,7.156471062096509,0.957774249915379,1.037508152046465
21,6.0,3.0,1.0,7.094731403874713,0.9542179674439606,1.1542345437815775
22,4.0,2.0,3.776010099774842,7.799362458922163,0.7271514932878953,1.2029044861836817
23,25.0,2.0,1.0,7.157022275696871,0.955831522882231,1.0841436081399476
24,54.0,4.0,1.0,6.998305275709031,0.965934769084239,1.0264759772135135
25,5.0,2.0,3.946568194276159,7.807019490170481,0.7225027935310956,1.1912681346736973
26,4.0,3.0,1.0,7.137828543212029,0.9533106456807242,1.1614042008995211
27,3.0,2.0,3.3841889327732098,7.777077895568464,0.7348267201123112,1.2104439918767762
28,14.0,2.0,1.0062793195386053,7.1829860873983264,0.9534072977732979,1.1315992556149408
29,12.0,2.0,1.0,7.181160768029912,0.9527808524343656,1.144631857706581
30,4.0,2.0,1.2875957847776063,7.337572314265056,0.9239677381949213,1.1882818637564991
31,21.0,13.0,1.0,6.858700206520753,0.9672835911615202,1.045111722268094
32,4.0,2.0,2.618026386681136,7.67750786247555,0.7987255761815545,1.2219637066436273
33,13.0,2.0,1.0,7.197204958947832,0.9514611095146109,1.1343550481645035
34,4.0,2.0,2.5468059049919,7.661451757836811,0.8056978205663731,1.2201370034063248
35,4.0,2.0,1.2411714726701524,7.3159561405727995,0.9285417481256599,1.1844717052753737
36,3.0,2.0,1.413621800496354,7.350834017286868,0.9099556474940105,1.1933134137375923
37,4.0,2.0,1.2104573176373923,7.295159664296971,0.9314350793959171,1.181795115765477
38,4.0,2.0,1.9840876415965227,7.542929290688619,0.8566615967658903,1.2158527085583881
39,4.0,2.0,2.1856671016008544,7.577510688900583,0.838001108540243,1.2186435755019458
40,4.0,2.0,1.172812839773766,7.282743173381323,0.934452123236788,1.1797020954956647
41,4.0,2.0,1.6229150484909174,7.446448519129733,0.8924077736480455,1.2057166167471907
42,4.0,2.0,1.8770631500307724,7.520274728039878,0.8661177546236611,1.2124072156425334
43,4.0,2.0,1.2682519013080684,7.321022658645052,0.9255237983617559,1.1867857839032259
44,4.0,2.0,2.2234146692669574,7.5883240876670195,0.8328728233348174,1.2206739173647507
45,11.0,2.0,1.0,7.170614903243569,0.9538262545368086,1.139093527457008
46,4.0,2.0,1.7798189824583464,7.4858667349232055,0.8767774471504879,1.2097031902727262
47,2.0,2.0,1.8675916017591734,7.464666350701045,0.8607845743247559,1.216374862482178
48,4.0,2.0,2.776678240417437,7.69830071618739,0.785973111850823,1.2195787898495722
49,4.0,2.0,2.4971160528733622,7.63607761150012,0.8090964067011023,1.221500702957689
50,10.0,2.0,1.4813331329050552,7.3750311468115015,0.9076687399023426,1.1755881974918423
51,4.0,2.0,2.108668924793894,7.556787129860883,0.8442083482685973,1.2187005270742104
52,4.0,2.0,1.0636215589588085,7.244436906299548,0.9441831134011663,1.172430847892603
53,2.0,2.0,1.6952116735200602,7.425380841570757,0.8805128953466281,1.212761713377262
54,4.0,2.0,3.229634239360865,7.75371702867897,0.7550438774383119,1.2130237953431209
55,2.0,2.0,1.3145122627598853,7.232630550084579,0.9195265895837617,1.1958811005079912
56,4.0,2.0,1.100639512064161,7.253267767905648,0.9416673079079723,1.1745122714242024
57,4.0,2.0,2.578725397470113,7.6463379228766915,0.8021258818421662,1.2211061609605445
58,36.0,2.0,1.0,7.120885876463887,0.9561868812296118,1.0764729750553264
59,4.0,2.0,1.68123936170075,7.4741657221878235,0.8857079411250667,1.2081438297135987
60,4.0,2.0,2.2674509952125934,7.597942663522425,0.8289930108796113,1.2191793282003776
61,23.0,4.0,1.0179009740890612,7.050029596721828,0.9601298952587084,1.071884470778602
62,4.0,2.0,1.3693061770732617,7.366689430403489,0.9166492038673772,1.1930055493296094
63,4.0,2.0,2.6814711257712114,7.689759035405026,0.7943110144905461,1.2198166748236132
64,17.0,2.0,1.0,7.174826470579495,0.9546799888182171,1.1152844640794222
65,4.0,2.0,1.892803337515649,7.529823031184267,0.8644179329917179,1.213814358313348
66,4.0,2.0,1.5037018788384249,7.4086728173674175,0.9028836254393438,1.2004081732195189
67,4.0,2.0,1.15,7.277049710783967,0.9372377512044072,1.177876705333055
68,2.0,2.0,1.769318371497404,7.435540903210191,0.8718740566495763,1.2141335995660887
69,35.0,4.0,1.0,7.033220585484914,0.9653639927448566,1.0532221290419883
70,2.0,2.0,1.5591231024640195,7.392408436196801,0.8942312110028049,1.2091856316270688
71,4.0,2.0,3.246224262766192,7.754528110064037,0.7542609204621689,1.2144910859383307
72,4.0,2.0,1.8264610123108018,7.508134497855799,0.8722754392028956,1.211445189169391
73,4.0,2.0,1.5231699295846002,7.419326516126316,0.9012211933664546,1.2013281629778538
74,19.0,2.0,1.0063204562701735,7.166920108753297,0.9548592573308976,1.1112193591733208
75,4.0,3.0,1.025499751340344,7.153790261124942,0.9512805179990683,1.1634046763411678
76,29.0,5.0,1.0,7.0804666545433435,0.960085642280436,1.078097947498596
77,15.0,4.0,1.0,7.07733947124553,0.9584301169725833,1.1087285621728247
78,4.0,2.0,1.6567350691305984,7.4538798032368945,0.8876284216069591,1.2077442944699401
79,4.0,2.0,1.0,7.214860966873371,0.9498132552205778,1.1680714462216761
80,2.0,2.0,1.3938367690688076,7.262904686126158,0.9119822203207893,1.2001357587402097
81,23.0,6.0,1.0,7.024453270303683,0.9620688871844761,1.0741992393132829
82,2.0,2.0,1.5344326098964016,7.386262389513128,0.8978045183935135,1.207924550266414
83,4.0,2.0,2.02961643004376,7.545808289969081,0.8520492565691187,1.2171833994034325
84,2.0,2.0,1.983235373545721,7.482834168467697,0.849201415342556,1.217632874604201
85,2.0,2.0,1.4560487105262807,7.272524162887251,0.9052575696589586,1.2044156462064584
86,4.0,2.0,2.8174864567877838,7.711425562694698,0.7823811420698625,1.22043838835715
87,4.0,2.0,1.0365085747610367,7.22040404626375,0.9469213145465928,1.1709471497057133
88,2.0,2.0,1.356256625699624,7.305793490915558,0.9155576474774351,1.199145524360093
89,4.0,2.0,2.4303296607343854,7.640088791816736,0.8145707293189522,1.221296496772965
90,18.0,2.0,1.0,7.179412074052559,0.9540559517165763,1.1197453014621814
91,5.0,2.0,1.0462747976469853,7.225133127181347,0.9458000530573153,1.1676035035564138
92,4.0,2.0,2.3122303056944746,7.6127632016114815,0.8256422600410391,1.2206604772160574
93,2.0,2.0,1.111254788288681,7.143280671843698,0.9396170640720167,1.1816620028914537
94,4.0,2.0,2.354986130086361,7.607502688649102,0.8212681277191662,1.2211990511801105
95,4.0,2.0,3.5589649527354736,7.799087474481519,0.7373150054425139,1.207378944055908
96,2.0,2.0,1.2954901431382786,7.205364504540762,0.9217480274151597,1.1959169337235966
97,20.0,4.0,1.0,7.084999048507534,0.956031751897409,1.0898930629571733
98,2.0,2.0,2.0598948361329477,7.500635490425093,0.8406912523888391,1.21912999452694
99,4.0,2.0,2.3960274600162053,7.624612220030382,0.8176965750534444,1.2209888184668238
