image_id,file,height,width,dentition,dentition_p25,vstd,metal_abs_frac,metal_abs_blobs,appliance_frac,appliance_peak,entropy,contrast_std,mean_intensity,clipped_high,flag_metal
214,214.jpg,1024,1852,159.28,144.48,0.2197096674577053,0.0,0,0.017144829275352637,52.0,7.281036084408695,55.34692708400907,88.88227076073635,0.0,False
456,456.jpg,1024,2041,151.40000000000003,117.88999999999999,0.19662372027640396,0.0,0,0.01798074242283433,49.0,6.874330239749442,39.673158278928035,82.71997742492461,0.0,False
64,64.jpg,1024,2041,150.76000000000002,107.97000000000001,0.20707887768674577,0.0,0,0.007071078480889906,44.0,7.027864130768643,43.47124926583742,85.65885976909212,0.0,False
436,436.jpg,1024,2041,149.04000000000002,83.22999999999999,0.19367083351727774,0.0,0,0.019192927305272597,49.0,7.090972264607954,43.221489386950424,82.41449911393461,0.0,False
227,227.jpg,1024,2041,144.28000000000003,102.19999999999999,0.24912435526210935,0.0,0,0.008485294177067886,44.0,7.1376732443686866,46.911962787699004,81.92399556082503,0.0,False
356,356.jpg,1024,2041,142.12,94.65,0.20904199458303488,0.0,0,0.0036365546473148087,42.0,7.09006133584307,42.52869913720423,85.37781904042025,0.0,False
150,150.jpg,1024,2041,140.99999999999997,88.42,0.23554486120854917,0.0,0,0.0066670168534104825,49.0,7.1787486829803075,43.87911891232509,89.3120068812268,0.0,False
391,391.jpg,1024,2041,140.96000000000004,103.11999999999998,0.20528402216020275,0.0,0,0.00767717092210904,50.0,7.041280965173502,42.49025390536124,82.37394613834755,0.0,False
342,342.jpg,1024,2041,139.88,105.90000000000002,0.24480947202056053,0.0,0,0.007475140108369328,44.0,7.101420065611003,42.209946368053494,87.49749727607573,0.0,False
48,48.jpg,1024,2041,139.88,105.29,0.21378122187476567,0.0,0,0.01697058835413577,51.0,7.072761699210454,42.24965454637689,85.73899117473816,0.0,False
469,469.jpg,1024,2041,139.74,96.4,0.22114565319264065,0.0,0,0.0036365546473148087,47.0,7.031398901773169,45.12479572111587,82.19919723234126,0.0,False
569,569.jpg,1024,1852,139.44,119.15999999999998,0.19354256140276624,0.0,0,0.0057891631319372545,50.0,7.372718185385413,53.40626262122482,89.4508277537733,0.0,False
61,61.jpg,1024,2041,139.12000000000003,94.12,0.19245324868570957,0.0,0,0.008485294177067886,46.0,7.032760245672112,41.58835890494743,83.14089008491565,0.0,False
377,377.jpg,1024,2041,138.44,97.91999999999997,0.23849626696726295,0.0,0,0.006262955225931059,46.0,7.126266740123052,42.231501571630865,86.97493420869684,0.0,False
229,229.jpg,1024,2043,136.82,113.39,0.2033176829109642,0.0,0,0.0,38.0,7.162162432207868,42.452259460160995,84.54993756462913,0.0,False
451,451.jpg,1024,2041,136.68,90.41000000000003,0.21597521296523037,0.0,0,0.006262955225931059,42.0,7.093513576490096,42.433994693326,87.9151241629147,0.0,False
560,560.jpg,1024,2041,134.64000000000004,91.43999999999997,0.21788641770526435,0.0,0,0.012121848824382695,45.0,7.2262953614826335,44.993067144605824,84.6466722619821,0.0,False
365,365.jpg,1024,2041,133.14,87.26000000000002,0.22521691321121484,0.0,0,0.011919818010642983,46.0,7.12713327428472,43.67271347370516,83.61956889948404,0.0,False
262,262.jpg,1024,2041,132.77999999999997,88.73000000000002,0.22083054483908487,0.0,0,0.008283263363328174,45.0,6.981303281311641,45.425356453934825,81.31308381091542,0.0,False
158,158.jpg,1024,2041,132.68,98.66,0.22200119822138886,0.0,0,0.009293417432026732,39.0,6.91459620387284,43.426732996832676,83.06262371419399,0.0,False
497,497.jpg,1024,2041,132.64,89.00000000000001,0.20573541817278912,0.0,0,0.004242647088533943,42.0,6.8755386995443715,44.33534181763208,83.7226046530441,0.0,False
322,322.jpg,1024,2041,132.12,96.96000000000002,0.2043790094746077,0.0,0,0.004848739529753078,49.0,7.0148357956583824,41.506626237454505,86.98842490185025,0.0,False
472,472.jpg,1024,2041,131.14,80.4,0.21221134185772528,0.0,0,0.002222338951136827,44.0,7.092183966174493,41.30759422549316,84.77165045794791,0.0,False
266,266.jpg,1024,2041,130.08,91.79999999999998,0.17328965795852,0.0,0,0.015960434285437215,44.0,7.078889851059346,42.95927529904224,84.67237511028418,0.0,False
406,406.jpg,1024,2041,129.98000000000002,95.77999999999999,0.20840478240984026,0.0,0,0.0008081232549588464,45.0,7.0572906502684685,43.024101412599414,82.68264323038458,0.0,False
395,395.jpg,1024,1852,129.80000000000004,103.00000000000001,0.23224372274217436,0.0,0,0.011355666143415384,50.0,7.020298448661854,46.25103221859888,83.25879960896046,0.0,False
138,138.jpg,1024,2041,129.76,76.89000000000001,0.182109653008425,0.0,0,0.012525910451862118,44.02700000006007,6.988356563146336,44.16793593504047,81.49491365602461,0.0,False
332,332.jpg,1024,2041,129.62,87.35999999999999,0.2130440944768734,0.0,0,0.0004040616274794232,43.0,6.986414674314956,40.58205029457047,83.80093991187378,0.0,False
346,346.jpg,1024,2041,129.32000000000002,92.94,0.2386883779166295,0.0,0,0.01272794126560183,47.0,7.130811165820043,47.12553187649582,85.16386142493471,0.0,False
99,99.jpg,1024,2043,129.12,91.21,0.2093191476711378,0.0,0,0.00020172189812237256,37.0,6.966404652334689,41.380434393587755,80.76606053642652,0.0,False
26,26.jpg,1024,2041,129.0,85.61,0.21739173340289852,0.0,0,0.0030304622060956738,42.0,7.346313662092793,48.35285726667317,141.99945331914282,0.0,False
301,301.jpg,1024,2041,128.32000000000002,83.57,0.21276803192485688,0.0,0,0.017374649981615198,43.0,7.025646799547468,43.611161355640625,85.58895603548306,0.0,False
557,557.jpg,1024,2043,126.9,83.75,0.20681766730231915,0.0,0,0.0,36.0,7.0943192512360875,46.584627911667425,80.23596151102436,0.0,False
176,176.jpg,1024,2041,126.75999999999999,89.45000000000002,0.2137201579122403,0.0,0,0.004040616274794232,40.0,6.975612404263188,42.374238539595375,83.4076216791508,0.0,False
164,164.jpg,1024,2041,126.5,103.84,0.19924991103674555,0.0,0,0.01030357150072529,46.0,7.095291262191736,40.620473365859276,146.83828990643858,0.0,False
333,333.jpg,1024,1850,126.19999999999999,91.63,0.2233007579471434,0.0,0,0.018942095129430223,48.0,7.304388919164332,49.100258399744675,84.0060490786938,0.0,False
517,517.jpg,1024,2041,126.18,100.26,0.21634877329916954,0.0,0,0.004040616274794232,43.0,7.119137836110342,42.08474851354054,85.14443877048,0.0,False
337,337.jpg,1024,2041,126.00000000000006,85.46,0.23496461781345568,0.0,0,0.0008081232549588464,41.0,7.051261327917986,41.365756374978126,86.13302862458889,0.0,False
102,102.jpg,1024,2041,125.87999999999998,73.24,0.20244175383220908,0.0,0,0.002020308137397116,38.0,7.078161944281065,47.28383558053564,82.80086091174991,0.0,False
255,255.jpg,1024,1850,125.84,72.6,0.2044340426340745,0.0,0,0.011810953433644727,41.0,7.203234913819988,45.17521171544862,85.6031215923384,0.0,False
490,490.jpg,1024,1852,124.60000000000002,110.36000000000001,0.2163600621864145,0.0,0,0.0031172416864277525,46.0,7.160497170877026,42.45326470079176,86.93470782476244,0.0,False
482,482.jpg,1024,2041,124.25999999999999,89.87,0.2170993591053047,0.0,0,0.0018182773236574044,39.0,7.040918626086457,45.45257532604069,83.25211593931779,0.0,False
529,529.jpg,1024,2041,123.40000000000002,86.89,0.2067038632595535,0.0,0,0.0002020308137397116,39.0,7.1716026784594025,46.29674145308103,85.48794331709512,0.0,False
585,585.jpg,1024,2041,123.29999999999998,92.6,0.22198352668410598,0.0,0,0.0,39.0,7.094110524502974,44.17886611251221,89.00082918530016,0.0,False
479,479.jpg,1024,2041,123.16000000000003,90.46,0.2358385645658751,0.0,0,0.006262955225931059,44.0,7.104050823954044,44.247484552113896,83.67268289476678,0.0,False
452,452.jpg,1024,2041,122.80000000000003,85.96000000000001,0.17190426462270475,0.0,0,0.00767717092210904,49.0,7.138734671601872,42.4818443398214,84.95042331426376,0.0,False
280,280.jpg,1024,2041,122.74,77.48000000000002,0.20897099235012978,0.0,0,0.0002020308137397116,37.0,7.147762344681064,43.53932093604624,82.32082708705687,0.0,False
530,530.jpg,1024,2041,122.36,86.16999999999999,0.23429275103972771,0.0,0,0.009293417432026732,43.0,7.074848351751612,44.45762868208845,84.79218796215072,0.0,False
331,331.jpg,1024,1850,122.26,94.98,0.20152843376492818,0.0,0,0.009582471653711759,51.0,7.2196223950729745,44.8301774677683,89.00481709136646,0.0,False
67,67.jpg,1024,2041,122.03999999999999,78.02,0.21655657716540974,0.0,0,0.0,36.0,7.191845535267985,45.375486770811364,82.37081583743924,0.0,False
246,246.jpg,1024,2038,121.67999999999998,88.68,0.17324058208463303,0.0,0,0.0183988920227661,49.0,7.0459172062725495,47.45809299491389,76.441584849139,0.0,False
525,525.jpg,1024,2041,121.51999999999997,87.07000000000001,0.1991716726687246,0.0,0,0.013940126148040098,50.0,6.940272331716117,40.98773351867261,82.7407184334465,0.0,False
137,137.jpg,1024,2041,121.43999999999997,84.04000000000002,0.1952537178279738,0.0,0,0.005454831970972213,45.0,7.111482503492982,45.61045337114144,82.75406945438091,0.0,False
25,25.jpg,1024,2041,120.64000000000001,80.88000000000002,0.19822846506151906,0.0,0,0.004848739529753078,40.0,7.0439441607563875,44.328564302649404,82.49556967305325,0.0,False
454,454.jpg,1024,2043,120.46000000000001,83.95000000000002,0.22114439178617704,0.0,0,0.0,41.0,7.109446692468001,42.81820997081818,82.38662835108754,0.0,False
461,461.jpg,1024,2041,119.53999999999999,75.96999999999998,0.22901898234346724,0.0,0,0.011313725569423849,47.0,7.129125863260411,45.58769440831923,86.17686737332804,0.0,False
152,152.jpg,1024,2041,119.52000000000001,94.82000000000001,0.20441375210630647,0.0,0,0.011717787196903272,42.0,7.012154566364275,42.637583705836434,84.67994079414717,0.0,False
528,528.jpg,1024,2041,119.48000000000002,93.02999999999999,0.20387181487143113,0.0,0,0.0026264005786162505,44.0,7.092238738532897,49.56932914749878,85.97984169639177,0.0,False
200,200.jpg,1024,2041,119.18,78.54,0.20278149653617075,0.0,0,0.008283263363328174,34.0,7.017282670252889,43.952087946727815,79.51665449011423,0.0,False
539,539.jpg,1024,2041,119.11999999999998,86.23000000000002,0.1979360205048655,0.0,0,0.014748249402998946,42.0,7.002484946093411,43.56459885152397,84.24107930601235,0.0,False
527,527.jpg,1024,2043,118.79999999999998,72.86000000000001,0.22636551916680991,0.0,0,0.0004034437962447451,41.0,7.056634662961866,44.18434750923796,82.14608046019099,0.0,False
80,80.jpg,1024,2041,118.53999999999999,94.81000000000002,0.23032918792174525,0.0,0,0.0,39.0,7.093704064211906,43.555603767428344,83.45184026048553,0.0,False
387,387.jpg,1024,2041,118.28000000000003,99.05000000000003,0.20532730091765988,0.0,0,0.0060609244121913475,44.0,7.150758109311908,43.616937949089184,84.68621593198658,0.0,False
250,250.jpg,1024,1850,118.02000000000001,88.18999999999998,0.2203853825990747,0.0,0,0.0,28.0,6.163356863310069,40.32395271927571,108.39755122473625,0.0,False
251,251.jpg,1024,2041,117.18,78.12,0.2148296955638705,0.0,0,0.004646708716013366,45.0,6.9224491119400575,42.97833051754787,85.00769903607208,0.0,False
375,375.jpg,1024,2041,116.44,99.91999999999997,0.17658177294365462,0.0,0,0.012525910451862118,47.0,7.1086216273558565,40.71110789529527,84.15726839059684,0.0,False
503,503.jpg,1024,2043,116.03999999999999,80.58000000000001,0.22262286800531808,0.0,0,0.014523976664810825,42.0,7.0858495479831305,42.628246912363316,85.25105268939255,0.0,False
496,496.jpg,1024,2041,116.02,78.12,0.23811753980244058,0.0,0,0.0006060924412191347,41.0,6.990998598302546,45.14817609007132,84.41313209579113,0.0,False
95,95.jpg,1024,2038,116.0,100.44,0.16808381076292508,0.0,0,0.008087425064952133,44.0,7.308582183569654,54.484126849222086,143.75514818948452,0.0,False
392,392.jpg,1024,2038,115.80000000000001,92.84000000000002,0.25278451840783234,0.0,0,0.00040437125324760664,40.0,7.07939712315383,44.10531037456823,85.76614251538173,0.0,False
90,90.jpg,1024,2041,115.56000000000003,82.27000000000001,0.20475423197853837,0.0,0,0.016364495912916638,40.0,7.08310690987319,42.055974812691815,82.4425251978795,0.0,False
373,373.jpg,1024,2041,115.18,89.71999999999998,0.23896173245206306,0.0,0,0.008081232549588464,40.0,7.16928604956124,43.208251146571186,87.0087070776527,0.0,False
371,371.jpg,1024,2041,115.14000000000001,97.12,0.2042591063592309,0.0,0,0.016566526726656348,43.0,7.104640609367047,41.464591526532324,87.62208742343309,0.0,False
532,532.jpg,1024,2041,114.78000000000002,86.61000000000001,0.20436710340269232,0.0,0,0.0,41.0,7.055858212836887,49.67323981668388,84.22870219860505,0.0,False
282,282.jpg,1024,2041,114.69999999999999,86.10000000000001,0.22318798716119154,0.0,0,0.0034345238335750966,43.0,7.046258495366753,48.18301037618368,85.01683145039172,0.0,False
437,437.jpg,1024,2041,114.46000000000001,82.61000000000001,0.2312454575460718,0.0,0,0.0030304622060956738,41.0,7.09688835531811,46.435895499285934,86.10303575356006,0.0,False
206,206.jpg,1024,2041,114.42,77.65999999999998,0.21295587290893314,0.0,0,0.0016162465099176927,41.0,7.042235193341502,47.442025229574035,86.31099378363825,0.0,False
8,8.jpg,1024,1852,114.27999999999999,98.08,0.225666248298346,0.0,0,0.015808868552597884,45.0,7.190845556904415,48.12742440253245,88.84166940157434,0.0,False
329,329.jpg,1024,2041,113.88,88.89000000000003,0.2045099224648808,0.0,0,0.007475140108369328,41.0,7.18472105002958,45.40731284287805,87.42714166175813,0.0,False
509,509.jpg,1024,2041,113.24000000000001,70.39999999999999,0.17774456404291628,0.0,0,0.008283263363328174,38.0,7.196156905156164,43.1136050542968,85.50303739676264,0.0,False
193,193.jpg,1024,1852,113.12,86.2,0.1814946674365189,0.0,0,0.0015586208432138763,42.0,7.240762677078262,51.90880467750686,88.84300097063092,0.0,False
121,121.jpg,1024,1852,112.64000000000006,92.63999999999999,0.22409633844531127,0.0,0,0.0020039410841321266,43.0,7.236657906560649,51.02692296707659,84.89910037215648,0.0,False
592,592.jpg,1024,2041,111.84,78.22,0.1829792657969977,0.0,0,0.0004040616274794232,41.0,7.202017319663021,45.97131940629622,82.21423632792256,0.0,False
236,236.jpg,1024,2041,111.6,82.27999999999999,0.2125418525764625,0.0,0,0.012121848824382695,42.0,7.161680973937763,46.491205894536684,89.15241525498712,0.0,False
390,390.jpg,1024,2041,111.01999999999998,84.20999999999998,0.238467925024406,0.0,0,0.0006060924412191347,42.0,7.099995087184192,43.38709348348641,86.58196420851988,0.0,False
66,66.jpg,1024,1850,110.93999999999997,81.80000000000001,0.18921428688676217,0.0,0,0.003342722669899451,40.0,7.145491172432788,44.90447603241196,87.78319672474042,0.0,False
191,191.jpg,1024,2041,110.79999999999998,77.19,0.1735658924892769,0.0,0,0.013334033706820965,48.02700000006007,7.177010928457393,44.22564930642391,87.42003038660765,0.0,False
336,336.jpg,1024,2041,110.75999999999998,92.94999999999999,0.19726797224137738,0.0,0,0.0034345238335750966,40.0,6.792381267490032,39.874640398878704,82.0330138357657,0.0,False
591,591.jpg,1024,2041,110.72,85.08000000000003,0.23291714004150643,0.0,0,0.002424369764876539,41.0,7.132238440668807,43.13957353345925,86.57535916616317,0.0,False
7,7.jpg,1024,2041,110.42000000000002,82.53999999999999,0.21648595816173102,0.0,0,0.001010154068698558,42.0,7.1351236158524785,42.18759070870792,85.5752807980403,0.0,False
211,211.jpg,1024,2041,110.08000000000001,65.44,0.24106110007178067,0.0,0,0.012929972079341542,46.02700000006007,7.159161610388087,44.5054094165947,83.78526755129953,0.0,False
