,SMARTER,TOPSIS,BellmanZadeh,PROMETHEEII,GRA,VIKOR,CODAS,MABAC
SMARTER,100.0,10.0,0.0,4.0,26.0,6.0,8.0,30.0
TOPSIS,10.0,100.0,0.0,0.0,20.0,2.0,12.0,8.0
BellmanZadeh,0.0,0.0,100.0,6.0,0.0,12.0,0.0,0.0
PROMETHEEII,4.0,0.0,6.0,100.0,14.000000000000002,10.0,0.0,2.0
GRA,26.0,20.0,0.0,14.000000000000002,100.0,4.0,36.0,16.0
VIKOR,6.0,2.0,12.0,10.0,4.0,100.0,0.0,16.0
CODAS,8.0,12.0,0.0,0.0,36.0,0.0,100.0,2.0
MABAC,30.0,8.0,0.0,2.0,16.0,16.0,2.0,100.0
