image_id,a,b,methods_a,methods_b,ssim_ab,mae
138,2,4,PROMETHEEII,SMARTER+GRA+VIKOR+CODAS+MABAC,0.8852114353052282,15.777715044708476
138,2,48,PROMETHEEII,TOPSIS,0.8331747938065464,18.38179526733219
138,2,76,PROMETHEEII,BellmanZadeh,0.8617885515920682,16.924112337702105
138,4,48,SMARTER+GRA+VIKOR+CODAS+MABAC,TOPSIS,0.9849529725583177,2.669031916033807
138,4,76,SMARTER+GRA+VIKOR+CODAS+MABAC,BellmanZadeh,0.9928503654475634,1.365765479544341
138,48,76,TOPSIS,BellmanZadeh,0.9916342334125781,1.6110496539686427
150,0,7,GRA+CODAS,TOPSIS,0.9978573476391225,1.3177713322207252
150,0,15,GRA+CODAS,PROMETHEEII,0.9964469629110437,3.863165938112445
150,0,30,GRA+CODAS,SMARTER+MABAC,0.9943775058637999,6.000977997917688
150,0,35,GRA+CODAS,VIKOR,0.9916665457955284,7.838983934805243
150,0,80,GRA+CODAS,BellmanZadeh,0.9826825793036121,11.77647388688143
150,7,15,TOPSIS,PROMETHEEII,0.997409453228963,2.5564616762616366
150,7,30,TOPSIS,SMARTER+MABAC,0.9957798888670242,4.69378186627266
150,7,35,TOPSIS,VIKOR,0.9935185842974562,6.536204104911808
150,7,80,TOPSIS,BellmanZadeh,0.9855542381471912,10.475051005175159
150,15,30,PROMETHEEII,SMARTER+MABAC,0.9976878305689487,2.1421058725808426
150,15,35,PROMETHEEII,VIKOR,0.9962415681385947,3.9833682937285646
150,15,80,PROMETHEEII,BellmanZadeh,0.9904370132709579,7.925986514729299
150,30,35,SMARTER+MABAC,VIKOR,0.9978110920850788,1.850710340366242
150,30,80,SMARTER+MABAC,BellmanZadeh,0.9938020807539079,5.790259638351299
150,35,80,VIKOR,BellmanZadeh,0.9958092577342813,3.9465005473726116
184,3,4,PROMETHEEII+GRA,CODAS,0.9802259310080303,9.263447949840764
184,3,24,PROMETHEEII+GRA,SMARTER+MABAC,0.9919910665429941,5.845703125
184,3,34,PROMETHEEII+GRA,TOPSIS,0.9809289795252695,8.734689356473542
184,3,60,PROMETHEEII+GRA,BellmanZadeh,0.9465282676678111,16.16966254287114
184,3,91,PROMETHEEII+GRA,VIKOR,0.990200140066418,6.2936065539257715
184,4,24,CODAS,SMARTER+MABAC,0.9885524015732434,5.8025803068348845
184,4,34,CODAS,TOPSIS,0.9799735403935005,9.12793542917075
184,4,60,CODAS,BellmanZadeh,0.9369514087875767,19.074490522415484
184,4,91,CODAS,VIKOR,0.9876132363134862,6.2330596789257715
184,24,34,SMARTER+MABAC,TOPSIS,0.9897574715441194,6.178248733004654
184,24,60,SMARTER+MABAC,BellmanZadeh,0.9512521533725906,16.78653616487016
184,24,91,SMARTER+MABAC,VIKOR,0.9974654116950489,1.83964805472195
184,34,60,TOPSIS,BellmanZadeh,0.9790996474601402,11.301744415268251
184,34,91,TOPSIS,VIKOR,0.9939546946705442,4.3645740828637924
184,60,91,BellmanZadeh,VIKOR,0.9605812115901639,15.14190012937898
195,4,19,GRA,BellmanZadeh,0.9948191950533637,2.6565734474522293
195,4,22,GRA,PROMETHEEII+VIKOR,0.9958183802388566,2.180613822880941
195,4,86,GRA,SMARTER+TOPSIS+CODAS+MABAC,0.9968067791294661,1.7512201050342968
195,19,22,BellmanZadeh,PROMETHEEII+VIKOR,0.9945153374260057,2.283608869732974
195,19,86,BellmanZadeh,SMARTER+TOPSIS+CODAS+MABAC,0.9956263803562908,2.4093629424914256
195,22,86,PROMETHEEII+VIKOR,SMARTER+TOPSIS+CODAS+MABAC,0.9976751051475717,1.1474193103870651
197,1,9,CODAS,PROMETHEEII+VIKOR,0.9934362223255427,3.583065707680059
197,1,21,CODAS,TOPSIS+GRA,0.9945672457246396,2.484422847256247
197,1,46,CODAS,SMARTER+MABAC,0.9944277221292375,2.4906405982055366
197,1,61,CODAS,BellmanZadeh,0.9888974849819829,5.523819799577413
197,9,21,PROMETHEEII+VIKOR,TOPSIS+GRA,0.9968617856089991,2.216934675097991
197,9,46,PROMETHEEII+VIKOR,SMARTER+MABAC,0.9969562752422672,2.135632138810632
197,9,61,PROMETHEEII+VIKOR,BellmanZadeh,0.9955182137937033,2.777338486801813
197,21,46,TOPSIS+GRA,SMARTER+MABAC,0.9986602963126128,0.19156749525355218
197,21,61,TOPSIS+GRA,BellmanZadeh,0.9924909128047119,4.544523307355463
197,46,61,SMARTER+MABAC,BellmanZadeh,0.9927989367120835,4.40647870988486
204,0,24,GRA+CODAS,TOPSIS,0.9976769379955419,1.1948766114955904
204,0,42,GRA+CODAS,SMARTER+MABAC,0.9883428437786994,8.300550147752327
204,0,48,GRA+CODAS,PROMETHEEII,0.9575557084904998,17.198446495284173
204,0,67,GRA+CODAS,BellmanZadeh,0.9726325576400168,13.894429813816757
204,0,99,GRA+CODAS,VIKOR,0.9793318939984316,11.879790467295443
204,24,42,TOPSIS,SMARTER+MABAC,0.9897140237706012,7.358532888290054
204,24,48,TOPSIS,PROMETHEEII,0.9617936803845907,16.17047738164503
204,24,67,TOPSIS,BellmanZadeh,0.9758330533710413,12.86435063617712
204,24,99,TOPSIS,VIKOR,0.981974674115617,10.857886471858158
204,42,48,SMARTER+MABAC,PROMETHEEII,0.9826871240189143,9.30659612705169
204,42,67,SMARTER+MABAC,BellmanZadeh,0.9925720919551005,5.859903712181529
204,42,99,SMARTER+MABAC,VIKOR,0.9957204165227748,3.77503990461171
204,48,67,PROMETHEEII,BellmanZadeh,0.995039043300258,3.4893826938388046
204,48,99,PROMETHEEII,VIKOR,0.9916655648779704,5.576497236342479
204,67,99,BellmanZadeh,VIKOR,0.997398209893381,2.1036208889637433
227,51,56,SMARTER+TOPSIS+GRA+VIKOR+CODAS+MABAC,PROMETHEEII,0.9503271223768996,7.532626565562224
227,51,57,SMARTER+TOPSIS+GRA+VIKOR+CODAS+MABAC,BellmanZadeh,0.9843124424221054,2.409239496570309
227,56,57,PROMETHEEII,BellmanZadeh,0.918857038165428,9.26012208705904
229,2,16,CODAS,TOPSIS+GRA,0.9957418745021863,2.323928123470387
229,2,21,CODAS,SMARTER+MABAC,0.9952461417463433,2.6014272248225647
229,2,33,CODAS,BellmanZadeh,0.9877362042000225,8.553000145313264
229,2,42,CODAS,PROMETHEEII+VIKOR,0.9897102557430568,7.577898904032061
229,16,21,TOPSIS+GRA,SMARTER+MABAC,0.9976846505594067,1.2438437844162995
229,16,33,TOPSIS+GRA,BellmanZadeh,0.9871358259166559,8.797977277594224
229,16,42,TOPSIS+GRA,PROMETHEEII+VIKOR,0.988990291507522,7.861107765081988
229,21,33,SMARTER+MABAC,BellmanZadeh,0.9893758319795148,7.632217384820118
229,21,42,SMARTER+MABAC,PROMETHEEII+VIKOR,0.9909808955174839,6.718360904613314
229,33,42,BellmanZadeh,PROMETHEEII+VIKOR,0.9979210644756894,0.9925417010829662
237,3,12,GRA+CODAS,SMARTER+MABAC,0.9827471425931671,9.501784224185448
237,3,41,GRA+CODAS,PROMETHEEII,0.9629649576657152,15.821658921790789
237,3,61,GRA+CODAS,VIKOR,0.983419011303409,10.09188778478687
237,3,62,GRA+CODAS,BellmanZadeh,0.9739475186008528,13.250703833139392
237,3,94,GRA+CODAS,TOPSIS,0.9978392467098216,1.0997605723297403
237,12,41,SMARTER+MABAC,PROMETHEEII,0.9856321192732038,6.979918985025723
237,12,61,SMARTER+MABAC,VIKOR,0.9971117402966495,0.7409047150600196
237,12,62,SMARTER+MABAC,BellmanZadeh,0.9941337103836336,4.143083392025968
237,12,94,SMARTER+MABAC,TOPSIS,0.9841214847195038,8.585561899038462
