image_id,degradation_type,front_size,hv_raw,hv_norm,spacing_raw,spacing_norm,range_H,range_SSIM,range_VIF
138,underexposure,100,0.04425047003403843,0.6398271146018475,0.011158450813987354,0.030169345373631678,0.9561492854149405,0.44188824228961693,0.14139993162243936
150,poor_local_contrast,100,0.006403625305275359,0.6766652741513033,0.0011186602737971044,0.0057305264983727395,0.16834855986799369,0.20093083003854528,0.24167300467112474
184,low_contrast,100,0.11055226393710858,0.6281022947294823,0.014516956753678303,0.030094135144893962,1.247350813920784,0.31045966616582155,0.39262284209246157
195,underexposure,100,0.00978468607335121,0.5986328783160304,0.0017560010050402567,0.007432207447876995,0.38972301224259276,0.22760539313283046,0.1591768237992004
197,skewed_histogram,99,0.01142051969814963,0.7574010101256552,0.007804734858510087,0.02768827385079668,0.3270591843089363,0.18304848372445537,0.21757029718996823
204,poor_local_contrast,100,0.006098830602630041,0.5993734624422781,0.00315372003677867,0.014894418683598481,0.2520977044963342,0.2084193338551642,0.16729165149935554
227,underexposure,100,0.051539565546824026,0.7254684147266512,0.008489627640558451,0.020732230959501625,0.8827258052777749,0.3840406611573384,0.18103031857708007
229,poor_local_contrast,100,0.01423273097165468,0.7709459607322741,0.006325568577334278,0.02841343356221383,0.33927785134180244,0.21265956485070092,0.2210324185869531
237,poor_local_contrast,100,0.016008821972569837,0.6806529026538188,0.005392256412461226,0.019616438697792806,0.4138300473638159,0.23225798445406254,0.21138448261736786
249,underexposure,100,0.04635526131042607,0.6768295327629649,0.009287540221238975,0.02866015281410611,0.8526387810648979,0.4233325659856632,0.16390985831973048
256,low_contrast,100,0.09799126448691027,0.615248776134368,0.008791530747906588,0.018213517702027095,1.1430851228339742,0.31781800534667504,0.37871424066656734
26,low_contrast,100,0.18021512116354393,0.6233434770250377,0.016490212116720655,0.020722270911970393,1.233809079985983,0.28417934803067657,0.7122876857750444
262,poor_local_contrast,100,0.016752807239151544,0.7422624277629716,0.004305968087816068,0.01615188701272664,0.3052180886322846,0.2689965674212942,0.23746806312477697
