image_id,scheme,consensus_index,consensus_votes,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
138,roc,4,5,4,48,76,2,4,4,4,4
138,rs,4,4,4,70,76,2,4,4,83,4
138,equal,4,3,4,67,76,2,4,48,67,4
138,legacy,4,3,4,67,76,2,4,92,67,4
150,roc,30,2,30,7,80,15,0,35,0,30
150,rs,0,2,30,7,80,15,0,35,0,76
150,equal,0,2,30,7,80,15,0,10,0,76
150,legacy,30,2,30,7,80,30,0,48,0,35
184,roc,24,2,24,34,60,3,3,91,4,24
184,rs,24,3,24,36,60,3,3,20,24,24
184,equal,60,2,24,27,60,3,3,60,49,20
184,legacy,3,2,24,49,60,3,3,54,37,20
195,roc,86,4,86,86,19,22,4,22,86,86
195,rs,86,5,86,86,19,19,86,22,86,86
195,equal,86,5,86,86,19,19,86,19,86,86
195,legacy,86,5,86,86,19,19,86,19,86,86
197,roc,46,2,46,21,61,9,21,9,1,46
197,rs,21,3,46,21,61,40,21,12,21,9
197,equal,21,3,46,21,61,40,21,12,21,9
197,legacy,61,2,46,30,61,51,21,61,21,9
204,roc,42,2,42,24,67,48,0,99,0,42
204,rs,42,2,42,24,67,13,0,61,0,42
204,equal,42,2,42,4,67,48,0,61,0,42
204,legacy,42,2,42,4,67,13,0,61,0,42
227,roc,51,6,51,51,57,56,51,51,51,51
227,rs,51,4,51,18,57,56,51,51,70,51
227,equal,51,4,51,15,57,53,51,51,18,51
227,legacy,51,4,51,15,57,56,51,51,15,51
229,roc,21,2,21,16,33,42,16,42,2,21
229,rs,16,2,21,16,33,11,16,94,2,30
229,equal,21,2,21,16,33,11,2,33,2,21
229,legacy,16,2,21,16,33,11,16,94,2,30
237,roc,12,2,12,94,62,41,3,61,3,12
237,rs,12,2,12,94,62,83,3,61,3,12
237,equal,7,2,12,3,62,83,7,61,7,97
237,legacy,12,2,12,3,62,11,7,61,7,12
249,roc,5,4,5,23,23,0,5,16,5,5
249,rs,5,3,5,42,23,0,5,21,69,5
249,equal,5,3,5,42,23,56,5,23,88,5
249,legacy,5,3,5,30,23,29,5,95,88,5
256,roc,84,3,84,56,78,1,81,5,84,84
256,rs,84,2,84,76,78,1,1,56,5,84
256,equal,78,2,84,42,78,1,1,78,16,56
256,legacy,1,2,84,25,78,1,1,61,14,56
26,roc,78,5,78,32,28,78,78,89,78,78
26,rs,78,3,78,22,28,4,78,21,78,33
26,equal,28,2,78,71,28,4,4,28,3,96
26,legacy,78,2,78,45,28,4,4,87,78,96
262,roc,23,3,23,24,64,50,23,50,24,23
262,rs,23,3,23,24,64,50,23,45,24,23
262,equal,23,2,23,40,64,28,89,64,11,23
262,legacy,64,3,23,40,64,64,40,64,11,28
269,roc,4,5,4,55,90,34,4,4,4,4
269,rs,4,4,4,55,90,1,54,4,4,4
269,equal,90,2,4,87,90,34,54,90,32,55
269,legacy,55,2,4,87,90,1,47,55,32,55
274,roc,84,2,84,25,71,85,5,80,5,84
274,rs,84,1,84,89,71,35,30,92,5,43
274,equal,71,2,84,98,71,35,27,71,27,77
274,legacy,27,2,84,98,71,24,27,75,27,59
294,roc,41,2,41,29,98,98,27,60,3,41
294,rs,41,2,41,29,98,60,27,45,3,41
294,equal,98,3,41,96,98,98,57,98,57,50
294,legacy,41,2,41,96,98,87,57,84,57,41
301,roc,92,4,92,34,91,0,92,41,92,92
301,rs,92,3,92,67,91,0,0,34,92,92
301,equal,91,2,92,23,91,0,0,91,43,41
301,legacy,0,2,92,60,91,0,0,52,73,41
305,roc,72,4,72,72,75,1,11,30,72,72
305,rs,72,3,72,14,75,1,79,51,72,72
305,equal,72,3,72,46,75,79,72,48,46,72
305,legacy,72,4,72,81,75,79,72,72,46,72
313,roc,32,2,32,46,49,35,4,35,4,32
313,rs,12,2,32,46,49,12,4,12,4,30
313,equal,49,2,32,20,49,12,4,49,4,38
313,legacy,4,2,32,20,49,99,4,68,4,30
332,roc,35,3,35,86,65,5,35,33,33,35
332,rs,35,2,35,19,65,5,35,33,43,33
332,equal,35,2,35,19,65,5,35,86,43,33
332,legacy,35,2,35,19,65,5,35,78,43,33
34,roc,87,2,87,52,72,7,3,65,3,87
34,rs,52,2,87,52,72,8,27,21,27,52
34,equal,52,3,87,52,72,8,93,52,93,52
34,legacy,52,3,87,52,72,8,93,52,93,52
342,roc,16,3,16,92,61,4,16,73,72,16
