image_id,degradation_type,pareto_size,processing_time,compromise_H,compromise_SSIM,compromise_VIF,compromise_Rx,compromise_Ry,compromise_Clip,consensus_index,consensus_votes,consensus_total,entropy_improvement,contrast_improvement,val_ssim_degraded,val_ssim_enhanced,val_ssim_recovery,val_vif_degraded,val_vif_enhanced,val_vif_recovery,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
138,underexposure,100,1081.1298217773438,5.867014832943999,0.6063231820774301,1.1093108013772282,7.0,6.0,1.621711140253304,4,5,8,1.0459024781913477,0.10191611982609255,0.3406754535558183,0.593682282507833,0.25300682895201465,0.641391370212165,0.8872349428413484,0.24584357262918344,4,48,76,2,4,4,4,4
150,poor_local_contrast,100,1345.3920962810516,7.883851283979829,0.9280247042140314,0.9905343422022764,2.0,2.0,1.3003761003680585,30,2,8,0.3549855399721862,0.10865343975059055,0.9945173835997624,0.9470213417251601,-0.047496041874602324,0.8863215197125683,1.0055544230547373,0.11923290334216896,30,7,80,15,0,35,0,30
184,low_contrast,100,1386.18607711792,7.639028273228167,0.686192147224555,1.4573530678160511,3.0,2.0,3.7752064643952847,24,2,8,1.5161111169933035,0.28610172183793575,0.7580129448057717,0.8043841094043561,0.04637116459858437,0.5260990823860546,1.0319422573736798,0.5058431749876252,24,34,60,3,3,91,4,24
195,underexposure,100,1322.3277804851532,7.158318842371827,0.8910023092405029,1.0222937194675554,5.0,2.0,1.0,86,4,8,0.5897447696559928,0.08930272238356274,0.6024627749151065,0.6732811612183317,0.07081838630322523,0.9132919806894273,1.045563301863191,0.1322713211737636,86,86,19,22,4,22,86,86
197,skewed_histogram,99,1381.6203932762146,7.722935215421574,0.9545063339950864,0.9988757899830102,3.0,5.0,1.0190009576114487,46,2,8,0.7219910045368358,0.042569509122799665,0.8544376855452421,0.8607398960265445,0.006302210481302417,0.9488421513093446,1.0730140448800884,0.12417189357074387,46,21,61,9,21,9,1,46
204,poor_local_contrast,100,1116.8753600120544,7.762625200091636,0.9107254955671372,0.9899346808271158,5.0,2.0,1.3047818227138572,42,2,8,0.32895540014599867,0.09642615300866786,0.9895746680766501,0.9337368241918749,-0.055837843884775196,0.8310438847908763,0.9723379840460871,0.14129409925521075,42,24,67,48,0,99,0,42
227,underexposure,100,1964.546701669693,5.164885578005501,0.6279328754826882,1.089898494160776,5.0,9.0,1.5771998592119731,51,6,8,0.9940295729260678,0.09362781581559876,0.29546977706532096,0.5122147074650951,0.21674493039977416,0.6263740782480371,0.7932834821813765,0.1669094039333393,51,51,57,56,51,51,51,51
229,poor_local_contrast,100,1241.1139430999756,7.74522531774379,0.9376028687070984,1.015118177760573,8.0,2.0,1.0769096020065168,21,2,8,0.274408632696046,0.06940927673676933,0.9911430432551814,0.9540202587299272,-0.03712278452525419,0.8516144850901544,0.9832480631544044,0.13163357806425002,21,16,33,42,16,42,2,21
237,poor_local_contrast,100,1347.9873449802399,7.655813482714231,0.8997268150658502,1.0209809215522154,4.0,2.0,1.4012451980806366,12,2,8,0.4861823820366604,0.1127942439864153,0.9835840119324265,0.9284109871832769,-0.055173024749149646,0.775537217210977,0.9158540972248551,0.1403168800138781,12,94,62,41,3,61,3,12
249,underexposure,100,1201.3402345180511,5.986429907398044,0.6269040603807683,1.108589764845307,10.0,5.0,1.6415133069526189,5,4,8,1.0233120221871754,0.08709180852419712,0.33108634108946633,0.5348138617740169,0.20372752068455058,0.6463587841703278,0.8366641964347079,0.19030541226438014,5,23,23,0,5,16,5,5
256,low_contrast,100,1526.3923227787018,7.739647767260044,0.7040579143227793,1.522803359557754,2.0,2.0,3.2536659861879382,84,3,8,1.3787679027175699,0.2814689952765712,0.7817148560250835,0.8690574981151735,0.08734264209009002,0.4919244154673634,0.9711919028377726,0.4792674873704092,84,56,78,1,81,5,84,84
26,low_contrast,100,1971.4098405838013,7.549179119506651,0.6909744343672772,1.7857767808444869,2.0,2.0,3.891429320923901,78,5,8,1.5158627998441716,0.2950297310561086,0.8601558908352109,0.9350790686611089,0.07492317782589797,0.3926879429155721,0.9610133555341359,0.5683254126185638,78,32,28,78,78,89,78,78
262,poor_local_contrast,100,1328.6510171890259,7.70228946455221,0.9076699070086182,1.0367873864032948,3.0,3.0,1.3331395913331534,23,3,8,0.39650693516247415,0.0926222552404728,0.9830913769280886,0.9273897989654124,-0.05570157796267616,0.7608608885654968,0.9152147469242972,0.15435385835880033,23,24,64,50,23,50,24,23
269,low_contrast,100,1270.1644427776337,7.657080090544271,0.8068335555472691,1.2298183890300762,5.0,2.0,2.1386899531096244,4,5,8,1.1271230223144988,0.19399325942977436,0.8247030709276335,0.8673485950889889,0.042645524161355364,0.6506222314181177,1.006591145500308,0.35596891408219034,4,55,90,34,4,4,4,4
274,overexposure,100,802.5711579322815,7.565018397793331,0.9215827035238036,1.0468915884467034,3.0,2.0,1.2290136757534054,84,2,8,0.6718381224634591,0.07051289062481042,0.7274038319691994,0.7721741704850517,0.044770338515852215,0.8423824934302288,1.0448473546468746,0.20246486121664586,84,25,71,85,5,80,5,84
294,overexposure,100,1225.569531917572,7.861343954938241,0.9242815056772308,0.9976523881025322,5.0,2.0,1.316382585430417,41,2,8,0.6947137766904543,0.08743265102321707,0.8512102967990698,0.8660550065268084,0.014844709727738659,0.9185530701645577,1.069494871001199,0.15094180083664144,41,29,98,98,27,60,3,41
301,low_contrast,100,1094.4179649353027,7.673763682958973,0.6711764399181187,1.4680336833227934,5.0,2.0,3.7251444460011394,92,4,8,1.6030690018906952,0.2729996124920494,0.7575990355631151,0.8188673651112343,0.061268329548119116,0.49448644709211353,1.0004976648151838,0.5060112177230702,92,34,91,0,92,41,92,92
305,underexposure,100,1272.590756893158,5.266558869604618,0.6130794810422252,1.1197885638971026,7.0,5.0,1.643055671528287,72,4,8,1.0353719941278214,0.08209712619032555,0.26252679363003917,0.46761226727562955,0.20508547364559038,0.57256162152176,0.7630760200230642,0.19051439850130414,72,72,75,1,11,30,72,72
313,skewed_histogram,100,1200.5220663547516,7.797859286462575,0.9389421466349432,1.0132529028289847,5.0,2.0,1.2082573033725637,32,2,8,0.6942606071228017,0.07292211046577929,0.8321095699480567,0.8553315570429374,0.02322198709488066,0.9422916950247864,1.0719634170245609,0.1296717219997745,32,46,49,35,4,35,4,32
332,underexposure,100,1132.0633420944214,5.457690932910124,0.4399544313974866,1.1377356926897613,7.0,5.0,2.7803752301154736,35,3,8,1.1438540626000746,0.11580164717209573,0.2614988236476734,0.516175990748524,0.25467716710085064,0.5719167670315177,0.8461915840969441,0.27427481706542634,35,86,65,5,35,33,33,35
34,poor_local_contrast,100,1970.2613956928253,7.395892452333242,0.8739549955789341,1.10668500573132,2.0,4.0,1.276703090620766,87,2,8,0.4896506673148924,0.12307708966900172,0.9946419416626361,0.9046377972475245,-0.09000414441511162,0.887358775565225,1.1442284885390925,0.2568697129738675,87,52,72,7,3,65,3,87
342,low_contrast,100,1085.695431470871,7.7389869886809715,0.6781056635080445,1.56301626661936,4.0,2.0,3.901054205104816,16,3,8,1.574968969163752,0.28337032171479326,0.7826320969389906,0.8371059319017861,0.05447383496279545,0.47503803704013525,1.0034098313133089,0.5283717942731736,16,92,61,4,16,73,72,16
346,skewed_histogram,100,1981.7725839614868,7.751070327948589,0.9461160932453476,1.003829664404878,5.0,2.0,1.0700686264410637,11,2,8,0.6712683414646063,0.049739200290934205,0.7983691357825162,0.8421617239666083,0.04379258818409204,0.9153512189841588,1.0428436055786845,0.12749238659452566,11,91,5,51,4,51,4,11
350,poor_local_contrast,100,1196.8328611850739,7.613358423139362,0.9458741843856469,1.0100913950347483,2.0,4.0,1.0,15,3,8,0.29830263616175845,0.0841877142404765,0.9665331450407583,0.9432650377156494,-0.023268107325108867,0.704017922088868,0.781513613924062,0.077495691835194,15,15,18,13,4,61,4,15
356,low_contrast,100,1300.3006694316864,7.70845884127183,0.761369525296333,1.2860714656483647,4.0,2.0,2.578756682944289,88,3,8,1.2504433462513305,0.23150952507306602,0.8188038510041967,0.8593185884832218,0.04051473747902512,0.6306465647228165,1.0293287205783686,0.398682155855552,88,93,77,0,88,27,3,88
365,underexposure,100,1128.007202386856,3.687841261450981,0.5635149156910192,1.0852056607435157,19.0,6.0,1.6402073147880545,79,5,8,0.9799372993908686,0.04243079261845345,0.14707913144228496,0.29672559142961813,0.14964645998733317,0.36839546936370254,0.4545909355120921,0.08619546614838958,79,61,56,97,79,79,79,79
377,poor_local_contrast,100,1345.7660112380981,7.890836670920502,0.8794163180486478,1.007283531417175,4.0,2.0,1.635421135799669,40,2,8,0.37244936275339935,0.12504985229943688,0.9846931898416703,0.9142419839359038,-0.07045120590576648,0.7850908330763955,0.9471688399191859,0.1620780068427904,40,52,46,38,4,62,4,40
386,low_contrast,100,1331.0608932971954,7.428907227716502,0.7640188496299717,1.4343360661294586,2.0,3.0,2.8608009026775223,1,3,8,1.197654559168301,0.23651328632076474,0.7626393523369832,0.8277843683025383,0.06514501596555511,0.515365838711854,0.9743483166307736,0.45898247791891955,89,1,66,84,84,1,1,89
391,overexposure,100,1118.636866569519,7.776888472270551,0.909376249886081,1.0120593204833552,3.0,3.0,1.4597790822758638,40,2,8,0.7455915007010558,0.0760239485494299,0.8288195540301626,0.8172188530553933,-0.011600700974769285,0.9260871433682004,1.1501226621909517,0.2240355188227513,40,21,47,65,3,29,3,40
