solution_id,param_0,param_1,param_2,objective_0,objective_1,objective_2
0,8.0,6.0,4.0,6.242744444301339,0.3806316121114,1.0166669923609664
1,10.0,5.0,3.975932933802239,6.181169222572943,0.37346956083318505,1.0382181185811559
2,46.0,3.0,4.0,6.240835871488891,0.3947530299222816,0.9446799065255763
3,39.0,10.0,1.0,5.390105663236441,0.7964256466833682,1.0510210212773403
4,54.0,7.0,1.1176065029140525,5.395203043688174,0.7968021268188482,1.0404131332048927
5,10.0,5.0,1.6415133069526189,5.986429907398044,0.6269040603807683,1.108589764845307
6,38.0,3.0,3.7489935121864733,6.191264099643314,0.4044639742090959,0.9675402130363151
7,41.0,14.0,2.5,6.0421391245537714,0.5137852979845081,0.9753457914873878
8,6.0,3.0,1.978127292498399,6.038503898757378,0.5783982206498561,1.069980088377454
9,7.0,5.0,2.8292031554582713,6.160238618041179,0.4633807221442057,1.0667918686824562
10,51.0,3.0,3.8033559088871667,6.224740897067538,0.4014903879543283,0.952056413102406
11,9.0,64.0,1.0,5.835152933945049,0.6953536927289876,0.9999916861956166
12,29.0,9.0,2.5,6.072021566900773,0.5050003187054636,1.0039098186037752
13,57.0,4.0,2.5,6.122267645806346,0.49475918422350196,0.989084760827476
14,30.0,2.0,1.0,5.64091999959686,0.7739377967881751,1.0558787573311208
15,25.0,5.0,1.589656059298572,5.9719096326812675,0.6418648098339316,1.0880394772784985
16,10.0,5.0,1.8177747733417218,6.028235141427978,0.5978090074102919,1.1046384347873641
17,4.0,4.0,1.0025313118089747,5.657412946586869,0.7676017998472509,1.0630748179858005
18,5.0,5.0,1.2081745984158445,5.592974391016356,0.7207857416045179,1.093645392599334
19,15.0,4.0,1.6684864569339464,6.0168425200723,0.6199043578858154,1.098819858671048
20,27.0,7.0,1.4444363055100893,5.734713201774856,0.6852563376023451,1.0731650191796276
21,11.0,5.0,1.7937123133606114,6.034499193335532,0.6096457161559827,1.1020413597453569
22,10.0,57.0,1.1894882372931024,5.869870676023805,0.6812430798283137,1.0295638450796416
23,21.0,5.0,1.597956625058396,5.9492455463931755,0.6544678651739687,1.0957641558513012
24,54.0,10.0,1.0,5.7943203007030135,0.7064002315751262,1.0113315066340876
25,7.0,7.0,1.1101643588750933,5.542431576268708,0.732544753779639,1.0995287791603747
26,2.0,11.0,1.0825055141494373,5.6257861749373,0.743585063796363,1.0775519256592865
27,32.0,13.0,1.0,5.408458398927874,0.7935824663510024,1.0432331479679324
28,64.0,9.0,1.5733463332575037,5.806132411313544,0.7024932679128271,1.0090952538896525
29,21.0,3.0,3.7962836547000993,6.237498944075622,0.3967305646705966,1.0076828791173862
30,4.0,3.0,1.0,5.7209634753346155,0.7722667436252318,1.0539367283044754
31,12.0,6.0,1.5513558891786987,5.767028305907448,0.6670609740854582,1.0968035206629465
32,41.0,4.0,3.6093833917163556,6.239968134706974,0.39333082215005244,0.9705455262001197
33,22.0,6.0,1.0616149955065646,5.486217813717705,0.7604556733123958,1.0897229870465934
34,43.0,6.0,1.4750303823277766,5.90002919005963,0.6638464409196965,1.047033737951752
35,33.0,8.0,1.6349217112078973,5.918681665233611,0.6572526539179521,1.049063411644873
36,11.0,5.0,4.0,6.217755242210211,0.37557035389582727,1.0336097800137516
37,10.0,5.0,1.47625092296452,5.6087551007796685,0.6741267482073676,1.1063531360519834
38,29.0,3.0,3.785586870488053,6.200396138555121,0.40018132635800757,0.9827464284302809
39,50.0,11.0,1.0,5.81728655984399,0.6986645667521381,1.0219346300256427
40,44.0,3.0,2.75361887147454,6.141173991231273,0.4814879863311854,0.9870817149759352
41,5.0,5.0,1.2256437050948186,5.597931381077794,0.7136686516395149,1.0948877773994092
42,2.0,6.0,1.0,5.716737263847868,0.7662085526036103,1.070221303884685
43,49.0,5.0,2.739660617583124,6.112305699881155,0.4913598477617037,0.996712435648714
44,9.0,4.0,3.7060528206527215,6.177895572816694,0.38870483902945696,1.0451428231214652
45,37.0,4.0,2.6472424353727764,6.134800101781275,0.4789852339792974,1.031354939175392
46,17.0,13.0,1.1085412823585192,5.564211831251036,0.7857202267497478,1.0684479930665922
47,6.0,7.0,3.85,6.182275263731922,0.383069201469976,1.0365592055389958
48,47.0,3.0,3.680510135080012,6.224740897067538,0.4014903879543283,0.952056413102406
49,2.0,9.0,1.1343456713805475,5.668742627887229,0.7395239677770437,1.0783110588349092
50,46.0,12.0,1.0,5.785613073767898,0.7007991265374088,1.016211364186661
51,25.0,6.0,1.0,5.4517203083363395,0.7792394045959554,1.0873806615213442
52,52.0,5.0,2.5,6.066884743674873,0.5118242241947514,0.9816472370485104
53,32.0,3.0,2.989390122261551,6.168542942871371,0.4661060837631289,1.011456493513969
54,50.0,12.0,1.086199299567764,5.892035545695852,0.6846668102347466,1.0274850443404409
55,40.0,4.0,2.5,6.124420427908344,0.4887076394307486,1.0195344601857195
56,11.0,4.0,2.734429927527923,6.15627729212358,0.47069374706481026,1.080844292439198
57,3.0,5.0,1.0394671855377025,5.674628920698205,0.7587031447950977,1.0760574546180424
58,43.0,3.0,3.823529440735752,6.240910597448565,0.3947469187440083,0.9449951467254162
