image_id,degradation_type,pareto_size,processing_time,compromise_H,compromise_SSIM,compromise_VIF,compromise_Rx,compromise_Ry,compromise_Clip,consensus_votes,consensus_total,entropy_improvement,contrast_improvement,val_ssim_degraded,val_ssim_enhanced,val_ssim_recovery,val_vif_degraded,val_vif_enhanced,val_vif_recovery,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
460,poor_local_contrast,100,1854.8875887393951,7.850422067263007,0.9080670261748764,1.0127212849755345,2.0,2.0,1.3516687984828804,3,8,0.39748297605301985,0.11317603515001823,0.9948070857101489,0.935327068053655,-0.05948001765649391,0.8851729268866041,1.0444183583757682,0.15924543148916415,43,48,93,11,48,93,48,43
557,skewed_histogram,100,1855.105084180832,7.440738026816126,0.788208673627064,1.037628577535862,3.0,4.0,1.5787811846656556,4,8,0.7128857504251798,0.1034448680303095,0.7519752672178324,0.9257434561580059,0.17376818894017354,0.8736902771545235,1.10894474796244,0.2352544708079164,11,28,11,42,38,11,29,11
21,overexposure,100,1867.3622739315033,7.820127836685478,0.9357984811902719,0.9326082225563275,3.0,4.0,1.4613935170788754,2,8,0.5469565304250779,0.05782595793957468,0.8625901005083412,0.869755120214328,0.007165019705986819,0.9221198217040307,1.0874873016904612,0.16536747998643042,88,4,13,21,4,26,3,88
502,low_contrast,100,1875.0281853675842,7.18220284880856,0.8524811090318571,1.7097899859250465,2.0,2.0,2.2428663801305175,2,8,1.2161033778483592,0.17371370958310184,0.8887295410233249,0.9520704041890314,0.06334086316570653,0.34392480273321024,0.7729758541480395,0.42905105141482924,37,74,74,0,0,46,2,37
205,skewed_histogram,100,1989.9345450401306,7.41270063828679,0.8839684409639483,0.9990590638355962,5.0,2.0,1.0203706503071184,5,8,0.5289921872772583,0.04713919989569365,0.746223085298807,0.9199685002939239,0.17374541499511686,0.900128061141327,1.0096147264768973,0.10948666533557028,21,21,46,35,21,60,21,21
95,poor_local_contrast,100,1347.9229032993317,7.690997318642992,0.9168883347790018,0.9804553545404834,2.0,2.0,1.2516492229434428,5,8,0.3776053066928906,0.06312129168099584,0.9909426973381509,0.9303913185396546,-0.06055137879849626,0.8585730177124025,0.9790698644311145,0.12049684671871208,6,15,6,6,15,6,3,6
41,skewed_histogram,100,1347.740578174591,6.8726060151559265,0.6347471558942516,1.313441362848651,4.0,6.0,1.7358418471452666,3,8,1.0432892819129362,0.17797123536056622,0.690497167691957,0.8531416412543499,0.16264447356239287,0.6641063747723664,1.0742783502723958,0.4101719755000294,56,30,85,4,97,56,1,56
499,skewed_histogram,100,1350.3747386932373,7.8772997084520755,0.9045691195855325,0.969565588331182,4.0,2.0,1.614992463313857,2,8,0.6373187746317175,0.05726167072975391,0.8187078909905559,0.8633980881987353,0.04469019720817946,0.9382869989345521,1.1207122220192276,0.18242522308467546,60,22,37,25,11,55,11,60
38,poor_local_contrast,100,1352.2975189685822,7.868575915753663,0.9065107679211568,0.9427607602849525,3.0,2.0,1.6653670615541365,3,8,0.31484164751070765,0.10678809796071337,0.9880831978579975,0.9343045559853232,-0.05377864187267423,0.8106863546205163,0.9335087148056328,0.1228223601851165,85,17,40,85,0,40,0,85
194,underexposure,100,1351.0750091075897,7.493967553711749,0.8778797511050497,1.004572847628561,4.0,2.0,1.0588762105903102,3,8,0.8320390722044362,0.055280327977700716,0.5562296294500791,0.6961654771026389,0.13993584765255973,0.9310490211631938,1.0947030913852873,0.16365407022209355,30,4,60,15,4,30,4,30
