,SMARTER,TOPSIS,BellmanZadeh,PROMETHEEII,GRA,VIKOR,CODAS,MABAC
SMARTER,100.0,3.614457831325301,4.819277108433735,7.228915662650602,9.63855421686747,18.072289156626507,1.2048192771084338,100.0
TOPSIS,3.614457831325301,100.0,2.4096385542168677,0.0,19.27710843373494,0.0,26.506024096385545,3.614457831325301
BellmanZadeh,4.819277108433735,2.4096385542168677,100.0,2.4096385542168677,0.0,19.27710843373494,0.0,4.819277108433735
PROMETHEEII,7.228915662650602,0.0,2.4096385542168677,100.0,20.481927710843372,2.4096385542168677,1.2048192771084338,7.228915662650602
GRA,9.63855421686747,19.27710843373494,0.0,20.481927710843372,100.0,6.024096385542169,37.34939759036144,9.63855421686747
VIKOR,18.072289156626507,0.0,19.27710843373494,2.4096385542168677,6.024096385542169,100.0,0.0,18.072289156626507
CODAS,1.2048192771084338,26.506024096385545,0.0,1.2048192771084338,37.34939759036144,0.0,100.0,1.2048192771084338
MABAC,100.0,3.614457831325301,4.819277108433735,7.228915662650602,9.63855421686747,18.072289156626507,1.2048192771084338,100.0
