image_id,a,b,methods_a,methods_b,ssim_ab,mae
159,80,86,SMARTER+TOPSIS+GRA+VIKOR+CODAS+MABAC,PROMETHEEII,0.9954013557993664,1.0195192881859383
161,4,45,PROMETHEEII,SMARTER+VIKOR+MABAC,0.8942139705958388,9.662456746080354
161,4,56,PROMETHEEII,CODAS,0.8154328735745374,14.142048455873347
161,4,76,PROMETHEEII,TOPSIS+GRA,0.8692651458368269,10.801234363516658
161,4,94,PROMETHEEII,BellmanZadeh,0.8473920061700569,11.233441978503185
161,45,56,SMARTER+VIKOR+MABAC,CODAS,0.9732968467905602,4.973465347103136
161,45,76,SMARTER+VIKOR+MABAC,TOPSIS+GRA,0.9892481392481577,1.7292452956577657
161,45,94,SMARTER+VIKOR+MABAC,BellmanZadeh,0.9816175415402054,2.186145922648212
161,56,76,CODAS,TOPSIS+GRA,0.9855252964106346,3.3989456378613423
161,56,94,CODAS,BellmanZadeh,0.9921368275462481,3.0482802739159727
161,76,94,TOPSIS+GRA,BellmanZadeh,0.9913385689180664,1.0198733578821657
167,1,4,CODAS,PROMETHEEII,0.9829363530735075,8.56396460451372
167,1,58,CODAS,BellmanZadeh,0.9498245303750164,16.848094530867222
167,1,68,CODAS,VIKOR,0.987222245767649,7.758873752143557
167,1,71,CODAS,SMARTER+GRA+MABAC,0.9866256823413012,7.7928941082802545
167,1,75,CODAS,TOPSIS,0.9932649494638851,4.7404123667932385
167,4,58,PROMETHEEII,BellmanZadeh,0.9536028692508833,14.895715469592112
167,4,68,PROMETHEEII,VIKOR,0.9951032267615149,3.378494285123714
167,4,71,PROMETHEEII,SMARTER+GRA+MABAC,0.9952131827626874,3.1382350295504655
167,4,75,PROMETHEEII,TOPSIS,0.9809604975438349,9.271309732514698
167,58,68,BellmanZadeh,VIKOR,0.9612840046278343,14.16595533745713
167,58,71,BellmanZadeh,SMARTER+GRA+MABAC,0.9548636474926919,15.263476658194513
167,58,75,BellmanZadeh,TOPSIS,0.9732566902184584,12.303655913155316
167,68,71,VIKOR,SMARTER+GRA+MABAC,0.9981632942038133,1.1626892837457128
167,68,75,VIKOR,TOPSIS,0.9870256463870555,7.758757004838315
167,71,75,SMARTER+GRA+MABAC,TOPSIS,0.9842694142822801,8.643504447880941
169,1,2,PROMETHEEII,CODAS,0.9894984852237113,6.230023292044341
169,1,11,PROMETHEEII,BellmanZadeh,0.9494276885036257,17.5404342808366
169,1,48,PROMETHEEII,VIKOR,0.9824970786650612,8.755583774804018
169,1,55,PROMETHEEII,SMARTER+MABAC,0.9922524393400918,5.106217081087702
169,1,85,PROMETHEEII,GRA,0.9939784979867711,4.224401239435326
169,1,97,PROMETHEEII,TOPSIS,0.9786436171315965,9.87516650845174
169,2,11,CODAS,BellmanZadeh,0.9781234377088939,11.64696667534297
169,2,48,CODAS,VIKOR,0.9970329930507731,2.5697809169830967
169,2,55,CODAS,SMARTER+MABAC,0.9978782887824622,1.1494934889453698
169,2,85,CODAS,GRA,0.9972091276872511,2.0322882854605586
169,2,97,CODAS,TOPSIS,0.9956021301942589,3.6980957748958843
169,11,48,BellmanZadeh,VIKOR,0.985629579510195,9.266651323646498
169,11,55,BellmanZadeh,SMARTER+MABAC,0.9736425373450637,12.7322280936122
169,11,85,BellmanZadeh,GRA,0.9702083910460383,13.567238792258697
169,11,97,BellmanZadeh,TOPSIS,0.9883303039468663,8.232662546698922
