image_id,scheme,consensus_index,consensus_votes,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
296,equal,37,4,37,22,37,73,4,37,22,37
296,legacy,37,3,37,22,37,5,4,37,22,73
303,roc,4,3,65,4,55,21,4,29,4,65
303,rs,65,3,65,65,55,93,4,64,4,65
303,equal,4,3,65,4,55,21,4,55,4,65
303,legacy,4,2,65,83,55,93,4,57,4,97
308,roc,3,3,30,3,32,50,3,75,3,30
308,rs,3,3,30,3,32,30,3,32,3,33
308,equal,30,3,30,3,32,30,3,32,3,30
308,legacy,3,3,30,3,32,30,3,93,3,33
312,roc,34,3,34,80,41,4,34,80,0,34
312,rs,34,3,34,75,41,4,34,80,0,34
312,equal,34,2,34,35,41,4,34,41,47,95
312,legacy,4,2,34,55,41,4,4,24,30,95
313,roc,25,2,25,90,17,17,4,48,4,25
313,rs,17,2,25,76,17,29,4,17,4,33
313,equal,25,2,25,59,17,29,51,17,51,25
313,legacy,17,2,25,59,17,14,51,17,51,33
330,roc,97,5,97,97,83,87,11,97,97,97
330,rs,97,5,97,83,83,87,97,97,97,97
330,equal,97,4,97,80,83,51,97,97,32,97
330,legacy,97,4,97,80,83,51,97,97,80,97
337,roc,41,2,41,83,76,5,0,63,0,41
337,rs,5,3,41,12,76,5,5,51,0,5
337,equal,76,2,41,44,76,5,5,76,59,21
337,legacy,76,2,41,13,76,5,5,76,80,21
339,roc,87,3,87,91,54,83,28,87,28,87
339,rs,87,2,87,91,54,83,28,87,12,67
339,equal,87,1,87,43,54,39,28,91,47,67
339,legacy,43,2,87,43,54,39,28,41,43,67
34,roc,7,3,10,64,96,7,7,15,7,10
34,rs,7,2,10,35,96,7,7,15,64,15
34,equal,10,1,10,26,96,9,7,35,5,64
34,legacy,10,1,10,26,96,9,7,35,46,64
345,roc,48,2,48,4,20,10,11,72,1,48
345,rs,10,3,48,4,20,10,4,10,11,10
345,equal,10,3,48,40,20,10,4,10,4,10
345,legacy,10,2,48,40,20,10,4,55,4,10
348,roc,3,3,62,3,67,25,3,32,3,62
348,rs,67,2,62,98,67,25,3,67,3,25
348,equal,67,2,62,98,67,25,3,67,3,10
348,legacy,98,3,62,98,67,32,98,67,98,25
349,roc,16,3,16,15,16,66,4,66,4,16
349,rs,16,3,16,15,16,66,4,66,4,16
349,equal,16,3,16,4,16,66,4,16,10,22
349,legacy,16,4,16,4,16,9,4,16,10,16
355,roc,19,3,19,19,77,36,3,51,3,19
355,rs,19,3,19,19,77,36,3,82,3,19
355,equal,19,3,19,19,77,15,3,77,3,19
355,legacy,19,3,19,19,77,72,3,28,3,19
360,roc,68,3,68,47,25,4,68,59,46,68
360,rs,68,3,68,48,25,4,68,58,47,68
360,equal,68,2,68,66,25,4,68,25,80,47
360,legacy,68,1,68,66,25,4,57,26,80,47
373,roc,4,4,4,33,76,89,4,4,31,4
373,rs,4,2,4,84,76,89,72,31,74,4
373,equal,76,2,4,54,76,51,72,76,18,74
373,legacy,4,1,4,54,76,2,91,17,18,74
38,roc,85,4,85,17,40,85,0,85,0,85
38,rs,85,4,85,17,40,85,0,85,0,85
38,equal,85,3,85,17,40,85,0,40,0,85
38,legacy,85,3,85,17,40,85,0,40,0,85
383,roc,90,2,90,19,53,0,65,4,4,90
383,rs,90,2,90,19,53,0,65,98,4,90
383,equal,90,1,90,83,53,0,65,44,28,19
383,legacy,90,1,90,38,53,0,65,36,77,19
390,roc,94,2,94,93,42,25,4,76,4,94
390,rs,94,1,94,61,42,64,4,76,31,48
390,equal,47,2,94,47,42,25,31,42,47,90
390,legacy,94,1,94,51,42,64,47,56,31,90
402,roc,19,2,19,52,93,3,95,95,81,19
402,rs,19,3,19,52,93,3,19,81,35,19
402,equal,19,2,19,83,93,3,19,64,83,81
402,legacy,19,2,19,83,93,3,19,88,0,81
405,roc,36,4,36,65,90,35,36,36,38,36
405,rs,36,4,36,65,90,35,36,36,38,36
405,equal,36,2,36,38,90,33,36,96,92,96
405,legacy,36,2,36,38,90,49,36,96,92,96
41,roc,11,3,11,64,85,4,11,71,90,11
41,rs,11,3,11,64,85,4,11,71,56,11
41,equal,56,2,11,30,85,4,97,56,1,56
41,legacy,56,2,11,30,85,4,97,56,1,56
414,roc,52,5,52,52,35,45,52,13,52,52
414,rs,52,3,52,35,35,32,52,13,22,52
414,equal,52,4,52,22,35,32,52,52,22,52
414,legacy,52,4,52,22,35,32,52,52,22,52
432,roc,84,3,84,57,55,4,84,20,65,84
432,rs,84,2,84,35,55,4,84,13,57,20
432,equal,84,3,84,50,55,39,84,55,95,84
432,legacy,84,4,84,50,55,4,84,84,95,84
439,roc,3,4,35,3,21,3,3,29,3,35
439,rs,3,4,35,3,21,3,3,24,3,24
439,equal,3,4,35,3,21,3,3,32,3,70
439,legacy,3,2,35,16,21,82,3,19,3,24
45,roc,41,3,41,55,50,1,41,4,4,41
45,rs,41,2,41,55,50,1,19,4,4,41
45,equal,41,1,41,66,50,1,19,63,74,55
45,legacy,41,1,41,57,50,1,30,25,74,91
459,roc,0,5,0,11,30,0,0,7,0,0
459,rs,0,3,0,80,30,7,0,61,0,7
459,equal,0,3,0,23,30,7,0,15,0,61
459,legacy,7,2,0,12,30,3,7,63,7,61
460,roc,43,2,43,68,93,30,48,29,48,43
460,rs,43,2,43,68,93,11,48,93,48,43
460,equal,48,3,43,48,93,11,48,93,48,43
460,legacy,48,3,43,48,93,11,48,93,48,43
462,roc,32,3,32,0,56,32,0,73,0,32
462,rs,32,2,32,32,56,19,0,37,0,19
462,equal,32,2,32,32,56,19,0,34,0,19
462,legacy,32,2,32,32,56,19,0,72,0,19
465,roc,72,3,72,72,19,51,3,19,92,72
465,rs,72,2,72,72,19,51,92,19,92,67
465,equal,72,2,72,92,19,28,92,19,36,72
465,legacy,92,3,72,92,19,51,92,19,92,67
470,roc,0,4,0,57,47,0,0,77,25,0
470,rs,0,4,0,59,47,0,0,59,3,0
470,equal,0,4,0,52,47,0,0,67,0,57
470,legacy,0,3,0,15,47,0,0,58,5,57
476,roc,1,4,1,58,26,1,90,1,90,1
476,rs,1,4,1,92,26,1,1,57,90,1
476,equal,1,3,1,17,26,1,1,26,90,57
476,legacy,1,4,1,26,26,1,1,52,1,57
478,roc,55,3,55,55,61,21,4,63,4,55
478,rs,55,2,55,55,61,26,4,37,4,44
478,equal,55,2,55,62,61,21,4,77,4,55
478,legacy,4,2,55,62,61,26,4,37,4,44
497,roc,0,5,0,54,42,0,0,0,3,0
497,rs,0,4,0,85,42,0,0,6,3,0
497,equal,0,4,0,82,42,0,0,41,0,6
497,legacy,0,3,0,41,42,0,0,64,40,6
499,roc,63,2,63,11,37,60,4,36,4,63
499,rs,25,2,63,22,37,25,4,25,4,60
