solution_id,param_0,param_1,param_2,objective_0,objective_1,objective_2
0,4.0,7.0,4.0,7.908246717155643,0.7207412025025896,0.8334695542131904
1,64.0,6.0,1.1128606920300625,7.475159951140778,0.9597710224657672,0.9067030009063662
2,4.0,7.0,4.0,7.908246717155643,0.7207412025025896,0.8334695542131904
3,64.0,6.0,1.0,7.475159951140778,0.9597710224657672,0.9067030009063662
4,2.0,5.0,1.0,7.648194836141205,0.9487777820402337,1.0104072247140614
5,3.0,6.0,4.0,7.907969254170676,0.7243149068969792,0.8551259724825448
6,4.0,4.0,3.947731949877252,7.897034253897074,0.7486128047361954,0.8354019647255305
7,2.0,6.0,2.3857714316663357,7.84685625180683,0.8168862975644128,0.9324647782284508
8,5.0,39.0,1.0,7.5704500510461195,0.9591623120881227,0.9168685976423284
9,25.0,11.0,1.0,7.516861811527368,0.9567531917996631,0.9355710138871619
10,4.0,2.0,2.317445473573246,7.843871391484035,0.8442553495327072,0.9416541186106995
11,5.0,2.0,1.0,7.623255364871344,0.95520106727043,1.0084953562751058
12,31.0,6.0,1.0,7.518119846882628,0.9566296570872551,0.9281057384875461
13,4.0,2.0,2.4864045379443818,7.861097603094957,0.8331476654298,0.9303058612072718
14,38.0,5.0,1.0,7.541585670951596,0.9589777207737652,0.9234480857288431
15,3.0,6.0,3.738848353956378,7.901513258915237,0.7333149161506909,0.8635814760337193
16,39.0,5.0,1.0,7.541585670951596,0.9589777207737652,0.9234480857288431
17,3.0,6.0,3.53197167887045,7.897931544863604,0.7424203394941955,0.8730914920332962
18,4.0,2.0,2.140942062836072,7.843122100047612,0.856418193113705,0.9523041333777386
19,3.0,6.0,3.2032248131047942,7.886297465399826,0.7580511517082364,0.8873428678208375
20,5.0,42.0,1.0,7.5704500510461195,0.9591623120881227,0.9168685976423284
21,7.0,2.0,1.15,7.679341951947686,0.9420293167182826,0.9978580617935342
22,4.0,2.0,1.7868670874668466,7.801914936289416,0.8846826595076307,0.9747499144834563
23,4.0,2.0,2.091359888240843,7.821944397483098,0.8607854099396943,0.9568969591052513
24,4.0,4.0,2.200448512498304,7.843999538923394,0.840065276305462,0.9139056652891763
25,3.0,6.0,3.3273099280948326,7.887775211832686,0.7527731059976294,0.8823870007936997
